arm,rate,pool,dur_s,ops,ops_per_s,inflight_peak,genlag_max_us,slotwait_p50_us,slotwait_p99_us,slotwait_max_us,get_p50_ms,get_p99_ms
closed,5000,128,10,44409,4196.8,128,0,0,0,0,20.05,147.07
closed,5000,256,10,88622,8628.6,256,0,0,0,0,19.96,149.45
closed,5000,512,10,176539,17179.5,512,0,0,0,0,20.06,149.36
open,2500,256,10,25000,2459.3,93,1555,0,1,18,19.91,150.30
open,5000,256,10,50000,4874.2,172,2300,0,0,12,20.03,147.88
open,6500,256,10,65000,6164.7,223,7927,0,0,109,20.04,148.85
open,8000,256,10,80000,7817.1,256,3193,0,0,1883,19.92,149.74
open,9500,256,10,95000,8446.2,256,2719,355073,734075,741469,19.96,149.86
open,2500,128,10,25000,2459.3,93,3289,0,1,12,19.91,150.31
open,5000,128,10,50000,4327.6,128,4462,619705,1283745,1297184,20.04,147.89
