rep,server,family,ops,elapsed_s,ops_per_s
0,f3,ping,2000000,0.845,2368125
0,f3,set,2000000,0.938,2133065
0,f3,get,2000000,1.054,1897892
0,f3,incr,2000000,0.926,2160731
0,f3,rpush,2000000,1.038,1927407
0,f3,hset,2000000,1.107,1807345
0,f3,zadd,2000000,1.051,1903196
0,obs1,ping,2000000,0.906,2207912
0,obs1,set,2000000,0.998,2003497
0,obs1,get,2000000,1.088,1837646
0,obs1,incr,2000000,0.975,2050445
0,obs1,rpush,2000000,1.090,1835569
0,obs1,hset,2000000,1.166,1715631
0,obs1,zadd,2000000,1.196,1672874
1,obs1,ping,2000000,0.950,2106013
1,obs1,set,2000000,1.069,1871494
1,obs1,get,2000000,1.172,1707097
1,obs1,incr,2000000,1.031,1940393
1,obs1,rpush,2000000,1.173,1705699
1,obs1,hset,2000000,1.227,1629376
1,obs1,zadd,2000000,1.179,1696230
1,f3,ping,2000000,0.929,2152884
1,f3,set,2000000,1.067,1873729
1,f3,get,2000000,1.145,1746602
1,f3,incr,2000000,1.088,1838203
1,f3,rpush,2000000,1.228,1628922
1,f3,hset,2000000,1.318,1517204
1,f3,zadd,2000000,1.223,1634927
2,f3,ping,2000000,0.936,2137239
2,f3,set,2000000,1.076,1859007
2,f3,get,2000000,1.170,1710081
2,f3,incr,2000000,1.040,1923322
2,f3,rpush,2000000,1.185,1687096
2,f3,hset,2000000,1.206,1657746
2,f3,zadd,2000000,1.204,1661609
2,obs1,ping,2000000,0.947,2112725
2,obs1,set,2000000,1.087,1839794
2,obs1,get,2000000,1.173,1705172
2,obs1,incr,2000000,1.112,1799306
2,obs1,rpush,2000000,1.255,1593199
2,obs1,hset,2000000,1.238,1615906
2,obs1,zadd,2000000,1.208,1655323
3,obs1,ping,2000000,1.011,1978480
3,obs1,set,2000000,1.137,1758551
3,obs1,get,2000000,1.153,1734195
3,obs1,incr,2000000,1.070,1868834
3,obs1,rpush,2000000,1.199,1667496
3,obs1,hset,2000000,1.292,1548009
3,obs1,zadd,2000000,1.231,1624112
3,f3,ping,2000000,0.951,2103693
3,f3,set,2000000,1.162,1720871
3,f3,get,2000000,1.198,1669997
3,f3,incr,2000000,1.136,1760239
3,f3,rpush,2000000,1.241,1611259
3,f3,hset,2000000,1.226,1631955
3,f3,zadd,2000000,1.195,1673942
4,f3,ping,2000000,2.750,727346
