kind,arm,recB,recsChunk,segMiB,specKiB,segs,chunksMean,blocksMean,footKiBp50,footKiBmax,hitPct,getsPerOpen,usdPerMopens,openP50ms,openP99ms,wastedKiBmean
cell,chunk,200,128,16,0,8,657,144,30.0,30.3,,,,,,
open,chunk,200,128,16,16,8,,,,,0.0,3.000,1.200,74.4,283.8,0.0
open,chunk,200,128,16,32,8,,,,,100.0,2.000,0.800,47.0,222.8,2.0
open,chunk,200,128,16,64,8,,,,,100.0,2.000,0.800,46.9,211.0,34.0
open,chunk,200,128,16,128,8,,,,,100.0,2.000,0.800,46.6,226.0,98.0
open,chunk,200,128,16,256,8,,,,,100.0,2.000,0.800,47.0,228.1,226.0
open,chunk,200,128,16,512,8,,,,,100.0,2.000,0.800,47.2,221.7,482.0
cell,chunk,200,128,64,0,8,2620,573,119.6,120.3,,,,,,
open,chunk,200,128,64,16,8,,,,,0.0,3.000,1.200,75.0,283.3,0.0
open,chunk,200,128,64,32,8,,,,,0.0,3.000,1.200,74.9,277.9,0.0
open,chunk,200,128,64,64,8,,,,,0.0,3.000,1.200,73.8,275.1,0.0
open,chunk,200,128,64,128,8,,,,,100.0,2.000,0.800,46.6,221.5,8.5
open,chunk,200,128,64,256,8,,,,,100.0,2.000,0.800,46.6,218.3,136.5
open,chunk,200,128,64,512,8,,,,,100.0,2.000,0.800,46.9,216.0,392.5
cell,chunk,200,128,128,0,8,5236,1145,239.0,239.6,,,,,,
open,chunk,200,128,128,16,8,,,,,0.0,3.000,1.200,74.8,283.5,0.0
open,chunk,200,128,128,32,8,,,,,0.0,3.000,1.200,75.0,282.9,0.0
open,chunk,200,128,128,64,8,,,,,0.0,3.000,1.200,74.3,277.7,0.0
open,chunk,200,128,128,128,8,,,,,0.0,3.000,1.200,74.5,277.1,0.0
open,chunk,200,128,128,256,8,,,,,100.0,2.000,0.800,47.1,220.9,17.6
open,chunk,200,128,128,512,8,,,,,100.0,2.000,0.800,46.9,212.3,273.6
cell,chunk,200,512,16,0,8,164,158,10.0,10.4,,,,,,
open,chunk,200,512,16,16,8,,,,,100.0,2.000,0.800,46.9,217.5,6.0
open,chunk,200,512,16,32,8,,,,,100.0,2.000,0.800,46.9,215.2,22.0
open,chunk,200,512,16,64,8,,,,,100.0,2.000,0.800,46.6,222.6,54.0
open,chunk,200,512,16,128,8,,,,,100.0,2.000,0.800,46.6,218.7,118.0
open,chunk,200,512,16,256,8,,,,,100.0,2.000,0.800,46.8,223.2,246.0
open,chunk,200,512,16,512,8,,,,,100.0,2.000,0.800,46.5,214.7,502.0
cell,chunk,200,512,64,0,8,657,631,39.5,40.2,,,,,,
open,chunk,200,512,64,16,8,,,,,0.0,3.000,1.200,74.8,279.3,0.0
open,chunk,200,512,64,32,8,,,,,0.0,3.000,1.200,74.8,280.3,0.0
open,chunk,200,512,64,64,8,,,,,100.0,2.000,0.800,46.8,217.3,24.4
open,chunk,200,512,64,128,8,,,,,100.0,2.000,0.800,46.8,228.9,88.4
open,chunk,200,512,64,256,8,,,,,100.0,2.000,0.800,46.1,228.9,216.4
open,chunk,200,512,64,512,8,,,,,100.0,2.000,0.800,46.5,218.7,472.4
cell,chunk,200,512,128,0,8,1311,1268,79.0,79.6,,,,,,
open,chunk,200,512,128,16,8,,,,,0.0,3.000,1.200,74.8,271.6,0.0
open,chunk,200,512,128,32,8,,,,,0.0,3.000,1.200,74.5,275.9,0.0
open,chunk,200,512,128,64,8,,,,,0.0,3.000,1.200,74.5,276.4,0.0
open,chunk,200,512,128,128,8,,,,,100.0,2.000,0.800,46.7,220.0,49.1
open,chunk,200,512,128,256,8,,,,,100.0,2.000,0.800,46.8,225.0,177.1
open,chunk,200,512,128,512,8,,,,,100.0,2.000,0.800,46.8,215.4,433.1
cell,chunk,200,2048,16,0,8,42,42,2.7,2.8,,,,,,
open,chunk,200,2048,16,16,8,,,,,100.0,2.000,0.800,46.8,224.8,13.3
open,chunk,200,2048,16,32,8,,,,,100.0,2.000,0.800,46.9,220.4,29.3
open,chunk,200,2048,16,64,8,,,,,100.0,2.000,0.800,47.1,216.2,61.3
open,chunk,200,2048,16,128,8,,,,,100.0,2.000,0.800,46.9,226.8,125.3
open,chunk,200,2048,16,256,8,,,,,100.0,2.000,0.800,46.7,216.2,253.3
open,chunk,200,2048,16,512,8,,,,,100.0,2.000,0.800,46.6,213.6,509.3
cell,chunk,200,2048,64,0,8,165,165,10.1,10.3,,,,,,
open,chunk,200,2048,64,16,8,,,,,100.0,2.000,0.800,46.5,221.7,5.8
open,chunk,200,2048,64,32,8,,,,,100.0,2.000,0.800,46.6,217.8,21.8
open,chunk,200,2048,64,64,8,,,,,100.0,2.000,0.800,46.7,220.0,53.8
open,chunk,200,2048,64,128,8,,,,,100.0,2.000,0.800,46.4,219.7,117.8
open,chunk,200,2048,64,256,8,,,,,100.0,2.000,0.800,47.0,216.9,245.8
open,chunk,200,2048,64,512,8,,,,,100.0,2.000,0.800,47.4,222.2,501.8
cell,chunk,200,2048,128,0,8,329,329,20.2,20.4,,,,,,
open,chunk,200,2048,128,16,8,,,,,0.0,3.000,1.200,75.1,277.6,0.0
open,chunk,200,2048,128,32,8,,,,,100.0,2.000,0.800,46.8,219.6,11.9
open,chunk,200,2048,128,64,8,,,,,100.0,2.000,0.800,46.7,216.1,43.9
open,chunk,200,2048,128,128,8,,,,,100.0,2.000,0.800,46.8,222.1,107.9
open,chunk,200,2048,128,256,8,,,,,100.0,2.000,0.800,46.7,218.8,235.9
open,chunk,200,2048,128,512,8,,,,,100.0,2.000,0.800,46.9,226.4,491.9
cell,chunk,2048,128,16,0,8,64,64,4.0,4.2,,,,,,
open,chunk,2048,128,16,16,8,,,,,100.0,2.000,0.800,46.7,222.4,12.0
open,chunk,2048,128,16,32,8,,,,,100.0,2.000,0.800,47.3,221.7,28.0
open,chunk,2048,128,16,64,8,,,,,100.0,2.000,0.800,46.9,218.1,60.0
open,chunk,2048,128,16,128,8,,,,,100.0,2.000,0.800,46.6,221.3,124.0
open,chunk,2048,128,16,256,8,,,,,100.0,2.000,0.800,46.8,226.8,252.0
open,chunk,2048,128,16,512,8,,,,,100.0,2.000,0.800,46.9,222.0,508.0
cell,chunk,2048,128,64,0,8,258,258,15.9,16.2,,,,,,
open,chunk,2048,128,64,16,8,,,,,62.5,2.375,0.950,57.1,253.2,0.4
open,chunk,2048,128,64,32,8,,,,,100.0,2.000,0.800,46.8,224.4,16.2
open,chunk,2048,128,64,64,8,,,,,100.0,2.000,0.800,46.8,220.1,48.2
open,chunk,2048,128,64,128,8,,,,,100.0,2.000,0.800,46.6,213.9,112.2
open,chunk,2048,128,64,256,8,,,,,100.0,2.000,0.800,46.4,223.0,240.2
open,chunk,2048,128,64,512,8,,,,,100.0,2.000,0.800,46.6,219.8,496.2
cell,chunk,2048,128,128,0,8,513,513,31.3,31.8,,,,,,
open,chunk,2048,128,128,16,8,,,,,0.0,3.000,1.200,74.1,284.7,0.0
open,chunk,2048,128,128,32,8,,,,,100.0,2.000,0.800,46.7,217.5,0.7
open,chunk,2048,128,128,64,8,,,,,100.0,2.000,0.800,46.9,220.0,32.7
open,chunk,2048,128,128,128,8,,,,,100.0,2.000,0.800,46.8,215.7,96.7
open,chunk,2048,128,128,256,8,,,,,100.0,2.000,0.800,47.2,215.9,224.7
open,chunk,2048,128,128,512,8,,,,,100.0,2.000,0.800,47.0,216.3,480.7
cell,chunk,2048,512,16,0,8,17,17,1.1,1.2,,,,,,
open,chunk,2048,512,16,16,8,,,,,100.0,2.000,0.800,46.8,224.8,14.9
open,chunk,2048,512,16,32,8,,,,,100.0,2.000,0.800,46.8,226.3,30.9
open,chunk,2048,512,16,64,8,,,,,100.0,2.000,0.800,46.9,217.8,62.9
open,chunk,2048,512,16,128,8,,,,,100.0,2.000,0.800,46.6,221.4,126.9
open,chunk,2048,512,16,256,8,,,,,100.0,2.000,0.800,46.8,223.5,254.9
open,chunk,2048,512,16,512,8,,,,,100.0,2.000,0.800,46.7,225.8,510.9
cell,chunk,2048,512,64,0,8,63,63,4.0,4.3,,,,,,
open,chunk,2048,512,64,16,8,,,,,100.0,2.000,0.800,46.9,216.6,12.0
open,chunk,2048,512,64,32,8,,,,,100.0,2.000,0.800,46.6,222.5,28.0
open,chunk,2048,512,64,64,8,,,,,100.0,2.000,0.800,46.4,212.9,60.0
open,chunk,2048,512,64,128,8,,,,,100.0,2.000,0.800,46.9,223.9,124.0
open,chunk,2048,512,64,256,8,,,,,100.0,2.000,0.800,46.8,216.6,252.0
open,chunk,2048,512,64,512,8,,,,,100.0,2.000,0.800,46.8,224.3,508.0
cell,chunk,2048,512,128,0,8,128,128,7.9,8.0,,,,,,
open,chunk,2048,512,128,16,8,,,,,100.0,2.000,0.800,46.9,222.2,8.2
open,chunk,2048,512,128,32,8,,,,,100.0,2.000,0.800,47.3,220.9,24.2
open,chunk,2048,512,128,64,8,,,,,100.0,2.000,0.800,46.4,221.1,56.2
open,chunk,2048,512,128,128,8,,,,,100.0,2.000,0.800,46.9,218.2,120.2
open,chunk,2048,512,128,256,8,,,,,100.0,2.000,0.800,46.3,218.2,248.2
open,chunk,2048,512,128,512,8,,,,,100.0,2.000,0.800,46.8,223.0,504.2
cell,chunk,2048,2048,16,0,8,5,5,0.4,0.6,,,,,,
open,chunk,2048,2048,16,16,8,,,,,100.0,2.000,0.800,46.0,223.6,15.6
open,chunk,2048,2048,16,32,8,,,,,100.0,2.000,0.800,46.8,224.6,31.6
open,chunk,2048,2048,16,64,8,,,,,100.0,2.000,0.800,46.3,226.3,63.6
open,chunk,2048,2048,16,128,8,,,,,100.0,2.000,0.800,47.0,217.1,127.6
open,chunk,2048,2048,16,256,8,,,,,100.0,2.000,0.800,47.2,223.1,255.6
open,chunk,2048,2048,16,512,8,,,,,100.0,2.000,0.800,46.9,219.8,511.6
cell,chunk,2048,2048,64,0,8,16,16,1.1,1.2,,,,,,
open,chunk,2048,2048,64,16,8,,,,,100.0,2.000,0.800,47.1,220.3,14.9
open,chunk,2048,2048,64,32,8,,,,,100.0,2.000,0.800,46.9,226.4,30.9
open,chunk,2048,2048,64,64,8,,,,,100.0,2.000,0.800,46.5,211.0,62.9
open,chunk,2048,2048,64,128,8,,,,,100.0,2.000,0.800,46.9,221.8,126.9
open,chunk,2048,2048,64,256,8,,,,,100.0,2.000,0.800,46.8,223.8,254.9
open,chunk,2048,2048,64,512,8,,,,,100.0,2.000,0.800,46.6,218.6,510.9
cell,chunk,2048,2048,128,0,8,32,32,2.1,2.2,,,,,,
open,chunk,2048,2048,128,16,8,,,,,100.0,2.000,0.800,46.6,224.1,13.9
open,chunk,2048,2048,128,32,8,,,,,100.0,2.000,0.800,46.7,221.9,29.9
open,chunk,2048,2048,128,64,8,,,,,100.0,2.000,0.800,46.8,216.9,61.9
open,chunk,2048,2048,128,128,8,,,,,100.0,2.000,0.800,46.9,216.6,125.9
