sample,ingested_bytes,max_lag_frames,mean_lag_frames,man_published,seg_puts
1,134218110,16191,16190,4,4
2,268436220,16275,16274,12,12
3,402653316,18369,10184,22,22
4,536871426,18173,6089,31,31
5,671089536,2158,2157,40,40
6,805306632,3983,3983,48,48
7,939524742,4066,4066,56,56
8,1073741838,6157,6156,64,64
9,1207959948,5955,5954,72,72
10,1342178058,6046,6046,80,80
11,1476395154,8131,8131,88,88
12,1610613264,7999,7999,96,96
13,1744831374,10103,10102,104,104
14,1879048470,10037,10036,112,112
15,2013266580,10125,10124,120,120
16,2147483676,12225,12224,128,128
final,2147483676,0,0,132,132
trend,first_half_max=18369,second_half_max=12225,ratio=0.67
