sample,ingested_bytes,max_lag_frames,mean_lag_frames,man_published,seg_puts
1,134218110,32287,32286,0,0
2,268436220,64589,64589,0,0
3,402653316,96958,80590,1,1
4,536871426,130145,97409,2,2
5,671089536,99212,99212,4,4
6,805306632,131531,115162,5,5
7,939524742,163826,114722,7,7
8,1073741838,132677,132676,8,8
9,1207959948,165027,132291,10,10
10,1342178058,133961,133960,12,12
11,1476395154,166305,149936,13,13
12,1610613264,198838,166102,14,14
13,1744831374,167815,167814,16,16
14,1879048470,200126,183757,17,17
15,2013266580,232477,199741,18,18
16,2147483676,266998,217894,19,19
final,2147483676,0,0,40,40
trend,first_half_max=163826,second_half_max=266998,ratio=1.63
