kind,n,chunk_kib,obj_mib,chunks,dir_b_per_elem,gets_per_op,kib_per_op,found_pct,scan_reqs,scan_ceil
hash,1000,16,0.1,6,0.144,1.0000,85.1,100.00,1,1
hash,10000,16,0.9,53,0.127,1.0000,123.2,100.00,1,1
hash,100000,16,9.4,530,0.127,1.0000,127.5,100.00,1,1
hash,1000000,16,94.5,5292,0.127,1.0000,128.0,100.00,6,6
hash,10000000,16,944.8,52911,0.127,1.0000,128.0,100.00,60,60
set,100000000,16,2286.4,128041,0.031,1.0000,128.0,100.00,143,143
hash,1000000,4,84.0,20834,0.500,1.0000,128.0,100.00,6,6
hash,1000000,8,87.7,10527,0.253,1.0000,128.0,100.00,6,6
hash,1000000,16,94.5,5292,0.127,1.0000,128.0,100.00,6,6
hash,1000000,32,110.5,2653,0.064,1.0000,128.0,100.00,7,7
sinter,n_a=1000000,n_b=2000000,matches=1000000,reqs=5,want_reqs=5,window_kib=341,transport_mib=32.0
