shape,n,workload,arg,ratio,enc_ns_val,dec_ns_val,x1,x2
counters,200000,encoder,raw,1.0000,4.3,3.2,1,858406
counters,200000,encoder,dict,0.4556,11.7,1.9,1,391060
counters,200000,encoder,dictrle,0.6825,12.3,3.0,1,585905
counters,200000,encoder,forpack,0.2418,11.8,15.6,1,207522
counters,200000,encoder,zstd,0.3392,27.0,7.3,1,291197
timestamps,200000,encoder,raw,1.0000,6.6,1.5,1,2800004
timestamps,200000,encoder,dict,1.2082,86.2,4.0,1,3383046
timestamps,200000,encoder,dictrle,1.2796,86.6,4.8,1,3582918
timestamps,200000,encoder,forpack,0.1969,26.4,20.2,1,551296
timestamps,200000,encoder,zstd,0.3283,79.4,16.2,1,919250
u64s,200000,encoder,raw,1.0000,6.2,1.8,1,1800004
u64s,200000,encoder,dict,1.3241,99.1,4.1,1,2383458
u64s,200000,encoder,dictrle,1.4352,81.0,5.1,1,2583442
u64s,200000,encoder,forpack,0.3551,14.0,10.9,1,639264
u64s,200000,encoder,zstd,0.3074,39.4,9.4,1,553363
uuids,200000,encoder,raw,1.0000,16.7,1.5,1,7400004
uuids,200000,encoder,dict,1.0788,118.6,4.5,1,7983494
uuids,200000,encoder,dictrle,1.1059,153.7,5.4,1,8183494
uuids,200000,encoder,forpack,,,,0,0
uuids,200000,encoder,zstd,0.5481,188.7,41.9,1,4055656
json,200000,encoder,raw,1.0000,36.3,3.5,1,24122731
json,200000,encoder,dict,1.0242,195.4,6.5,1,24706221
json,200000,encoder,dictrle,1.0325,202.4,7.2,1,24906221
json,200000,encoder,forpack,,,,0,0
json,200000,encoder,zstd,0.1869,335.1,71.9,1,4507940
mixed,200000,encoder,raw,1.0000,18.1,3.1,1,7170421
mixed,200000,encoder,dict,1.0378,122.7,4.5,1,7441150
mixed,200000,encoder,dictrle,1.0653,116.3,6.0,1,7638939
mixed,200000,encoder,forpack,,,,0,0
mixed,200000,encoder,zstd,0.2981,135.1,32.1,1,2137821
counters,200000,select,0.00,0.2426,,16.5,100.0,0.0
counters,200000,select,0.04,0.2426,,17.2,100.0,0.0
counters,200000,select,0.08,0.2426,,16.6,100.0,0.0
counters,200000,select,0.12,0.2426,,16.9,100.0,0.0
counters,200000,select,0.16,0.2426,,16.8,100.0,0.0
counters,200000,select,0.24,0.2426,,19.3,100.0,0.0
timestamps,200000,select,0.00,0.1814,,23.5,100.0,0.0
timestamps,200000,select,0.04,0.1814,,25.1,100.0,0.0
timestamps,200000,select,0.08,0.1814,,20.8,100.0,0.0
timestamps,200000,select,0.12,0.1814,,19.3,100.0,0.0
timestamps,200000,select,0.16,0.1814,,19.4,100.0,0.0
timestamps,200000,select,0.24,0.1814,,18.8,100.0,0.0
u64s,200000,select,0.00,0.3309,,12.9,100.0,0.0
u64s,200000,select,0.04,0.3309,,16.2,100.0,0.0
u64s,200000,select,0.08,0.3309,,17.3,100.0,0.0
u64s,200000,select,0.12,0.3309,,13.6,100.0,0.0
u64s,200000,select,0.16,0.3309,,12.5,100.0,0.0
u64s,200000,select,0.24,0.3309,,13.4,100.0,0.0
uuids,200000,select,0.00,1.0004,,3.0,0.0,0.0
uuids,200000,select,0.04,1.0004,,3.4,0.0,0.0
uuids,200000,select,0.08,1.0004,,3.7,0.0,0.0
uuids,200000,select,0.12,1.0004,,2.9,0.0,0.0
uuids,200000,select,0.16,1.0004,,3.6,0.0,0.0
uuids,200000,select,0.24,1.0004,,3.0,0.0,0.0
json,200000,select,0.00,0.1940,,111.3,0.0,100.0
json,200000,select,0.04,0.1940,,110.8,0.0,100.0
json,200000,select,0.08,0.1940,,113.9,0.0,100.0
json,200000,select,0.12,0.1940,,130.2,0.0,100.0
json,200000,select,0.16,0.1940,,123.9,0.0,100.0
json,200000,select,0.24,0.1940,,111.8,0.0,100.0
mixed,200000,select,0.00,0.3232,,54.9,19.8,80.2
mixed,200000,select,0.04,0.3226,,54.6,19.7,80.3
mixed,200000,select,0.08,0.3226,,53.1,19.7,80.3
mixed,200000,select,0.12,0.3226,,55.8,19.7,80.3
mixed,200000,select,0.16,0.3226,,51.8,19.7,80.3
mixed,200000,select,0.24,0.3225,,57.4,19.6,80.4
mixed,200000,select,0.08,0.3806,,78.7,0.5,99.5
mixed,200000,select,0.08,0.3226,,53.0,19.7,80.3
mixed,200000,select,0.08,0.3013,,41.5,19.9,80.1
mixed,200000,select,0.08,0.3005,,35.9,20.4,79.6
counters,200000,sample,0.010,0.2426,,,100.0,0.00
counters,200000,sample,0.050,0.2426,,,100.0,0.00
counters,200000,sample,0.200,0.2426,,,100.0,0.00
timestamps,200000,sample,0.010,0.1814,,,100.0,0.00
timestamps,200000,sample,0.050,0.1814,,,100.0,0.00
timestamps,200000,sample,0.200,0.1814,,,100.0,0.00
u64s,200000,sample,0.010,0.3309,,,100.0,0.00
u64s,200000,sample,0.050,0.3309,,,100.0,0.00
u64s,200000,sample,0.200,0.3309,,,100.0,0.00
uuids,200000,sample,0.010,1.0004,,,100.0,0.00
uuids,200000,sample,0.050,1.0004,,,100.0,0.00
uuids,200000,sample,0.200,1.0004,,,100.0,0.00
json,200000,sample,0.010,0.1940,,,100.0,0.00
json,200000,sample,0.050,0.1940,,,100.0,0.00
json,200000,sample,0.200,0.1940,,,100.0,0.00
mixed,200000,sample,0.010,0.4646,,,63.9,44.03
mixed,200000,sample,0.050,0.3534,,,77.2,9.55
mixed,200000,sample,0.200,0.3170,,,80.4,-1.72
mixed,200000,sample,0.010,0.3486,,,76.0,15.72
mixed,200000,sample,0.010,0.2997,,,79.6,-0.27
