shape,n,workload,arg,ratio,enc_ns_val,dec_ns_val,x1,x2
json,50000,dictsize,16,0.2419,800.4,141.9,0.2499,3.17
json,50000,dictsize,48,0.2416,799.3,138.1,0.2499,3.31
json,50000,dictsize,112,0.2419,786.4,140.0,0.2499,3.17
json,50000,dictsize,224,0.2422,766.1,138.3,0.2499,3.07
sess,50000,dictsize,16,0.3632,912.4,141.1,0.3661,0.80
sess,50000,dictsize,48,0.3731,934.7,139.6,0.3661,-1.90
sess,50000,dictsize,112,0.3778,934.3,135.5,0.3661,-3.19
sess,50000,dictsize,224,0.3777,843.1,137.2,0.3661,-3.18
user,50000,dictsize,16,0.2054,443.3,113.3,0.2230,7.88
user,50000,dictsize,48,0.2061,455.7,112.5,0.2230,7.57
user,50000,dictsize,112,0.2048,447.3,111.9,0.2230,8.14
user,50000,dictsize,224,0.2080,453.9,112.6,0.2230,6.72
rand,50000,dictsize,16,1.0034,0.0,0.0,1.0034,0.00
rand,50000,dictsize,48,1.0034,0.0,0.0,1.0034,0.00
rand,50000,dictsize,112,1.0038,457.0,7.2,1.0034,-0.05
rand,50000,dictsize,224,1.0038,496.4,15.1,1.0034,-0.05
json,50000,gsize,4,0.4652,8708.1,538.6,0.5504,15.48
json,50000,gsize,16,0.3080,2094.5,243.5,0.3305,6.80
json,50000,gsize,64,0.2422,893.5,155.4,0.2499,3.06
json,50000,gsize,256,0.2354,618.5,151.2,0.2366,0.53
json,50000,gsize,1024,0.2394,614.9,173.3,0.2397,0.11
json,50000,gsize,4096,0.2447,391.9,122.5,0.2446,-0.07
sess,50000,gsize,4,0.5891,7493.5,597.4,0.6278,6.16
sess,50000,gsize,16,0.4466,2510.4,330.9,0.4322,-3.32
sess,50000,gsize,64,0.3779,993.4,156.2,0.3661,-3.22
sess,50000,gsize,256,0.3652,640.8,133.2,0.3581,-1.98
sess,50000,gsize,1024,0.3650,538.5,118.4,0.3622,-0.76
sess,50000,gsize,4096,0.3669,564.6,124.7,0.3654,-0.41
user,50000,gsize,4,0.5014,2262.6,272.1,0.6335,20.85
user,50000,gsize,16,0.2945,1018.2,189.9,0.3569,17.49
user,50000,gsize,64,0.2048,497.9,122.1,0.2230,8.13
user,50000,gsize,256,0.1840,275.6,86.5,0.1898,3.10
user,50000,gsize,1024,0.1790,171.3,60.2,0.1805,0.83
user,50000,gsize,4096,0.1782,164.6,56.7,0.1786,0.24
json,50000,train,10,0.2415,822.0,140.1,0.2499,3.33
json,50000,train,30,0.2419,803.4,143.1,0.2499,3.18
json,50000,train,100,0.2418,879.0,161.9,0.2499,3.23
json,50000,train,300,0.2421,812.3,146.5,0.2499,3.11
sess,50000,train,10,0.3748,974.8,142.4,0.3661,-2.38
sess,50000,train,30,0.3774,1014.5,151.8,0.3661,-3.09
sess,50000,train,100,0.3779,933.2,138.9,0.3661,-3.21
sess,50000,train,300,0.3778,1001.6,147.2,0.3661,-3.20
user,50000,train,10,0.2062,465.5,111.4,0.2230,7.54
user,50000,train,30,0.2067,502.3,118.7,0.2230,7.30
user,50000,train,100,0.2048,451.0,113.3,0.2230,8.14
user,50000,train,300,0.2082,461.3,114.7,0.2230,6.61
json,50000,shift,0.00,0.2420,0.0,0.0,0.2500,0.04
json,50000,shift,0.25,0.2702,0.0,0.0,0.2745,4.32
json,50000,shift,0.50,0.2656,0.0,0.0,0.2700,3.91
json,50000,shift,0.75,0.2536,0.0,0.0,0.2579,4.52
json,50000,shift,1.00,0.2320,0.0,0.0,0.2316,4.15
sess,50000,shift,0.00,0.3779,0.0,0.0,0.3660,0.04
sess,50000,shift,0.25,0.3868,0.0,0.0,0.3742,0.71
sess,50000,shift,0.50,0.3875,0.0,0.0,0.3744,0.56
sess,50000,shift,0.75,0.3849,0.0,0.0,0.3715,0.78
sess,50000,shift,1.00,0.3755,0.0,0.0,0.3617,0.81
user,50000,shift,0.00,0.2049,0.0,0.0,0.2230,-0.83
user,50000,shift,0.25,0.2254,0.0,0.0,0.2401,6.05
user,50000,shift,0.50,0.2265,0.0,0.0,0.2416,4.82
user,50000,shift,0.75,0.2237,0.0,0.0,0.2394,4.96
user,50000,shift,1.00,0.2136,0.0,0.0,0.2231,2.60
