cell,wl,value,keys,dist,conns,pipe,ab_ratio,rb_ratio,ratio,verdict,ab_aki_ops,ab_redis_ops,ab_valkey_ops,rb_aki_ops,rb_redis_ops,rb_valkey_ops,ab_aki_p99,ab_redis_p99,ab_valkey_p99,rb_aki_p99,rb_redis_p99,rb_valkey_p99,p99_x_best_rival,aki_rss_mb,redis_rss_mb,valkey_rss_mb,aki_bytes_per_key_rss,redis_bytes_per_key,valkey_bytes_per_key,ab_aki_MBps,resp_ver,p1c512_ratio,p1c512_aki_ops
set_16b_1m,set,16,1000000,uniform,512,16,1.128,1.092,1.092,MISS,4815256.404,4227519.866,2996801.517,3634381.5,3195909.25,2755959.75,3440.639,2514.943,3440.639,3703.0,2839.0,3703.0,1.368,539.9,80.7,82.7,219.8,5.914,4.17,268.943,2,0.309,328868.158
set_64b_1m,set,64,1000000,uniform,512,16,0.928,1.091,0.928,MISS,4530710.669,4786694.743,3005050.899,3634381.5,3328894.75,2755200.5,3756.031,2269.183,3586.047,3663.0,2863.0,3615.0,1.655,589.6,146.6,132.1,224.2,11.172,6.862,470.483,2,0.312,326991.012
set_256b_1m,set,256,1000000,uniform,512,16,0.892,1.001,0.892,MISS,4446282.606,4971052.204,2919604.622,3332222.75,3328341.0,2421014.5,3729.407,2279.423,3450.879,4023.0,3063.0,3991.0,1.636,787.4,382.1,399.7,247.1,30.322,18.387,1319.835,2,0.312,324055.148
set_1k_1m,set,1k,1000000,uniform,512,16,0.714,0.939,0.714,MISS,3454963.895,4838972.314,2845619.605,2498750.75,2659574.5,1996805.12,4878.335,2621.439,3891.199,5383.0,4959.0,4719.0,1.861,1605.7,1332.8,1376.5,376.8,102.279,62.022,3682.281,2,0.322,318859.685
set_4k_1m,set,4k,1000000,uniform,512,16,1.097,,1.097,MISS,1765988.403,1576787.808,1512136.893,,,,9469.951,7880.703,6660.095,,,,1.422,9108.4,5079.4,5114.3,2253873.0,134.106,124.298,7340.503,2,0.34,298423.257
set_64k_100k,set,64k,100000,uniform,512,16,1.57,,1.57,MISS,260655.548,159697.572,164999.982,,,,71172.095,64552.959,51478.527,,,,1.383,15765.0,8078.4,8400.3,40127717.3,2296.158,2180.394,17098.151,2,0.623,126281.234
set_1m_4k,set,1m,4000,uniform,64,16,1.146,,1.146,MISS,14427.25,12523.465,12386.538,,,,111149.055,64618.495,68222.975,,,,1.72,26454.9,7180.6,7565.1,133908173.3,540390.15,514243.108,15128.968,2,,
get_16b_1m,get,16,1000000,uniform,512,16,0.821,0.774,0.774,MISS,4800774.96,5728218.88,4313297.714,3997601.5,4697041.0,3805175.0,3471.359,2006.015,2480.127,3543.0,2079.0,2695.0,1.73,648.9,145.0,144.7,186.0,70.74,66.318,244.129,2,0.303,324486.843
get_64b_1m,get,64,1000000,uniform,512,16,0.832,0.871,0.832,MISS,4753167.649,5699024.826,4326880.871,3634381.5,3992813.0,3803727.75,3483.647,2008.063,2441.215,3695.0,2431.0,2679.0,1.735,849.9,261.3,238.0,268.6,127.531,115.117,469.853,2,0.305,324447.581
get_256b_1m,get,256,1000000,uniform,512,16,0.781,1.001,0.781,MISS,4355809.94,5455889.89,4200929.755,3332222.75,3072668.75,2755200.5,3786.751,2109.439,2600.959,4151.0,3023.0,3415.0,1.795,1621.0,719.4,839.6,589.0,367.534,371.117,1271.186,2,0.303,321110.97
get_1k_1m,get,1k,1000000,uniform,512,16,0.665,0.951,0.665,MISS,2803925.233,4214720.497,3348793.606,2104377.25,2101281.75,1901863.88,5910.527,3039.231,3575.807,6351.0,4359.0,4551.0,1.945,4921.9,2618.1,2690.6,1943.1,1327.522,1331.109,2974.254,2,0.317,326385.992
get_4k_1m,get,4k,1000000,uniform,512,16,0.668,3.247,0.668,MISS,1311578.332,1948638.833,819118.825,3992016.0,1229256.38,1065246.25,12951.551,9207.807,11591.679,3535.0,7151.0,7783.0,1.407,16495.2,9867.9,10030.7,17276.6,5167.535,5171.117,5420.043,2,0.341,308571.272
get_64k_100k,get,64k,100000,uniform,512,16,0.615,6.988,0.615,MISS,194393.359,258411.566,299842.586,2390438.25,171330.66,342075.28,76677.119,43417.599,73859.071,4071.0,9271.0,24367.0,1.766,25552.6,14818.3,14923.5,267729.1,81981.859,81981.839,12746.885,2,0.67,141876.435
get_1m_4k,get,1m,4000,uniform,64,16,0.518,4.988,0.518,MISS,13448.884,24256.06,20630.116,99633.47,14257.7,19958.5,104660.991,45383.679,79167.487,663.0,12015.0,48671.0,2.306,24976.4,9134.7,9417.4,6542183.4,1311130.286,1311197.556,14102.693,2,,
set_64b_1k,set,64,1000,uniform,512,16,0.966,0.948,0.948,MISS,4496574.255,4597783.513,3064193.67,4207869.0,4436557.5,2853474.25,3782.655,2383.871,3444.735,3359.0,2223.0,3383.0,1.587,444.9,13.3,14.8,115781.6,1582.688,1760.608,458.153,2,0.306,321121.208
set_64b_100k,set,64,100000,uniform,512,16,0.86,0.953,0.86,MISS,4427947.204,4996937.866,2989611.589,3808073.25,3992813.0,2853067.0,3794.943,2256.895,3514.367,3687.0,2423.0,3583.0,1.681,465.9,28.1,30.4,1320.3,115.871,68.311,459.796,2,0.305,320049.93
get_64b_1k,get,64,1000,uniform,512,16,0.768,0.79,0.768,MISS,4636828.723,5794659.548,4287226.532,4440497.0,5323396.5,3805899.0,3641.343,2023.423,2441.215,3263.0,1839.0,2495.0,1.8,597.1,12.3,15.4,191913.3,1582.672,1760.864,449.259,2,0.304,325169.901
get_64b_100k,get,64,100000,uniform,512,16,0.738,0.763,0.738,MISS,4484657.769,5868975.649,4293498.79,3807348.25,4988775.5,3632401.0,3821.567,2028.543,2463.743,3631.0,1999.0,2655.0,1.884,622.3,37.3,35.9,1999.3,141.83,125.845,443.27,2,0.304,322653.814
incr_1k,incr,64,1000,uniform,512,16,0.926,0.946,0.926,MISS,4673642.773,4974430.503,4299209.779,4442470.0,4697041.0,3805175.0,3559.423,2183.167,2445.311,3247.0,2031.0,2487.0,1.63,453.6,12.0,16.3,121847.8,1527.656,1721.28,167.734,2,0.304,324358.471
incr_100k,incr,64,100000,uniform,512,16,0.814,0.901,0.814,MISS,4648392.15,5533027.077,4188479.428,3998400.75,4437541.5,3996004.0,3579.903,2061.311,2551.807,3527.0,2143.0,2399.0,1.737,456.8,18.3,21.8,1280.0,56.778,48.735,162.694,2,0.302,321568.428
incr_1m,incr,64,1000000,uniform,512,16,0.851,0.864,0.851,MISS,4769167.046,5465392.166,4145290.674,3635042.0,4204330.5,3805175.0,3512.319,2086.911,2514.943,3655.0,2303.0,2583.0,1.683,538.9,64.8,73.5,219.2,5.631,4.851,166.441,2,0.302,322523.724
set_64b_1m_zipf,set,64,1000000,zipfian,512,16,0.964,,0.964,MISS,4508735.071,4544567.541,2967979.879,,,,3780.607,2398.207,3448.831,,,,1.576,246.4,14.6,14.5,7009.4,5.126,3.955,462.705,2,0.311,324055.094
get_64b_1m_zipf,get,64,1000000,zipfian,512,16,0.86,,0.86,MISS,4673147.033,5402671.14,4182672.352,,,,3516.415,2111.487,2553.855,,,,1.665,529.0,134.0,124.1,532.4,127.527,115.108,456.207,2,0.304,323339.285
set_1k_1m_zipf,set,1k,1000000,zipfian,512,16,0.726,,0.726,MISS,3300760.98,4452876.87,2842314.051,,,,5152.767,2793.471,3825.663,,,,1.845,366.2,23.2,27.6,14001.4,39.776,27.974,3514.063,2,0.32,316410.881
get_1k_1m_zipf,get,1k,1000000,zipfian,512,16,0.663,,0.663,MISS,2689587.771,4027730.38,3341792.174,,,,5996.543,3227.647,3596.287,,,,1.858,3704.4,1289.2,1299.5,3851.6,1327.538,1331.116,2849.967,2,0.313,317877.71
mset_64b_1m,mset,64,1000000,uniform,512,16,1.111,2.279,1.111,MISS,2758843.086,2368593.99,1673577.476,1137980.0,408956.12,499002.0,6393.855,4268.031,6021.119,11703.0,20959.0,16799.0,1.498,2531.6,162.7,199.6,2187.5,15.597,10.398,767.247,2,0.368,363260.091
mget_64b_1m,,,,,,,,1.489,1.489,MISS,,,,793965.81,468055.25,531349.62,,,,18719.0,17839.0,15463.0,1.211,2570.5,144.5,164.6,,,,,,,
getrange_1k_1m,getrange,1k,1000000,uniform,512,16,0.843,,0.843,MISS,4395459.272,5216472.476,3962120.793,,,,3788.799,2226.175,2846.719,,,,1.702,1519.4,1288.3,1296.3,1559.6,1327.56,1331.138,697.754,2,0.31,321607.992
getrange_64k_100k,getrange,64k,100000,uniform,512,16,0.392,,0.392,MISS,2003849.003,5091304.699,3725569.448,,,,6549.503,2246.655,2961.407,,,,2.915,13000.6,7265.8,7351.6,135636.4,81982.116,81982.076,325.255,2,0.339,353534.421
getrange_rb_1k,,,,,,,,1.249,1.249,MISS,,,,3325573.75,2661698.25,2349624.0,,,,4135.0,3447.0,3727.0,1.2,1497.4,1334.3,1363.2,,,,,,,
getrange_rb_64k,,,,,,,,0.386,0.386,MISS,,,,921093.06,2386635.0,1996008.0,,,,9727.0,3895.0,4343.0,2.497,12968.1,7586.1,7588.1,,,,,,,
setrange_rb_1k,,,,,,,,1.165,1.165,MISS,,,,3322259.25,2847380.25,2852253.25,,,,3807.0,2983.0,3327.0,1.276,1305.9,1348.1,1384.3,,,,,,,
setrange_rb_64k,,,,,,,,,,,,,,,,,,,,,,,,12596.5,7645.4,7765.3,,,,,,,
append_rb_1k,,,,,,,,0.995,0.995,MISS,,,,2982107.25,2973241.0,2994012.0,,,,4039.0,3351.0,3575.0,1.205,3790.3,1798.2,1811.7,,,,,,,
append_rb_64k,,,,,,,,,,,,,,,,,,,,,,,,12586.0,7588.3,7716.2,,,,,,,
append_grow_1m,append,16,1000000,uniform,512,16,0.818,,0.818,MISS,4494122.244,5346486.311,3521995.725,,,,3756.031,2177.023,3018.751,,,,1.725,4330.0,212.6,282.0,55801.4,1193.133,816.583,331.527,2,0.309,324862.224
hot_set,set,64,1,uniform,512,16,1.593,1.5,1.5,MISS,8908545.096,5380230.034,3119270.081,7993605.0,4997501.5,3072668.75,2181.119,2066.431,3401.727,2095.0,2071.0,3335.0,1.056,300.0,12.4,14.6,30113792.0,1457112,1647616,890.855,2,0.617,647656.743
hot_incr,incr,64,1,uniform,512,16,1.507,1.5,1.5,MISS,9210609.135,5918378.79,4353994.192,8880994.0,5330490.5,4204330.5,2033.663,1898.495,2478.079,1879.0,1927.0,2327.0,1.071,300.0,11.5,14.7,29970432.0,1481720,1672360,340.793,2,0.607,646662.798
p1_set_64b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ltm_get,,,,,,,0.008,0.015,0.008,MISS,40253.631,4852416.908,4151837.458,45882.78,2982107.25,2392344.5,328204.287,2164.735,2584.575,184959.0,3151.0,5199.0,151.614,2272.4,570.6,573.7,,523.611,517.469,42.972,2,0.031,32103.365
ltm_set,,,,,,,0.015,,0.015,MISS,63680.859,4100162.203,2717339.311,,,,186646.527,2543.615,4091.903,,,,73.378,1383.2,530.8,562.3,,319.926,213.649,68.311,2,0.027,26873.322
