f3 reactor A/B matrix (m10-pullforward slice 7)
per arm: ab ratio = min over rivals from the same invocation; rb ratio = min over rivals, rb-vs-rb; HEAD = min(ab, rb)

cell              arm          aki_ab     rds_ab     vky_ab   r_ab     aki_rb     rds_rb     vky_rb   r_rb   HEAD    p99us     rss  r_rss
-----------------------------------------------------------------------------------------------------------------------------------------
get_64b_p16_c512  single    4,842,780  4,733,045  4,007,941  1.02x  4,700,352  4,437,542  3,996,004  1.06x  1.02x    3,721     478  3.81x
get_64b_p16_c512  pair      4,275,003  4,726,651  4,008,360  0.90x  4,698,144  4,437,542  3,996,004  1.06x  0.90x    4,139     479  3.82x
get_64b_p16_c512  reactor   7,096,034  4,729,399  4,010,545  1.50x  6,648,936  4,437,542  3,996,004  1.50x  1.50x    2,591     509  4.06x
get_1k_p16_c512   single    3,189,552  2,087,622  1,817,384  1.53x  3,327,787  2,102,165  1,998,002  1.58x  1.53x    5,423   1,804  1.39x
get_1k_p16_c512   pair      2,930,743  2,116,000  1,828,511  1.39x  3,073,141  2,102,165  1,998,002  1.46x  1.39x    5,644   1,807  1.39x
get_1k_p16_c512   reactor   3,799,053  2,084,199  1,811,961  1.82x  3,988,831  2,102,165  1,998,002  1.90x  1.82x    4,235   1,909  1.47x
set_64b_p16_c512  single    6,496,765  3,722,719  2,913,099  1.75x  5,706,134  3,473,428  2,854,288  1.64x  1.64x    2,722     405  3.18x
set_64b_p16_c512  pair      5,994,399  3,699,019  2,906,142  1.62x  5,326,232  3,473,428  2,854,288  1.53x  1.53x    2,859     408  3.20x
set_64b_p16_c512  reactor   7,022,143  3,681,331  2,910,320  1.91x  6,134,970  3,473,428  2,854,288  1.77x  1.77x    2,533     473  3.71x
set_1k_p16_c512   single    3,181,996  3,111,879  2,089,516  1.02x  3,072,196  2,852,253  1,997,204  1.08x  1.02x    5,308   1,357  1.03x
set_1k_p16_c512   pair      3,201,565  3,085,383  2,047,862  1.04x  3,074,086  2,852,253  1,997,204  1.08x  1.04x    5,198   1,361  1.03x
set_1k_p16_c512   reactor   4,144,915  3,084,506  2,082,675  1.34x  4,422,822  2,852,253  1,997,204  1.55x  1.34x    3,817   1,348  1.02x
get_64b_p16_c50   single    2,980,488  3,302,548  3,766,810  0.79x  3,998,401  3,198,976  3,808,798  1.05x  0.79x      605     242  1.98x
get_64b_p16_c50   pair      3,418,442  3,307,048  3,754,126  0.91x  4,704,776  3,198,976  3,808,798  1.24x  0.91x      553     242  1.98x
get_64b_p16_c50   reactor   3,160,803  3,319,719  3,781,828  0.84x  3,999,200  3,198,976  3,808,798  1.05x  0.84x      556     249  2.04x
get_1k_p16_c50    single    2,853,346  2,058,266  2,099,614  1.36x  3,332,223  1,999,200  2,104,377  1.58x  1.36x      629   1,160  0.90x
get_1k_p16_c50    pair      2,914,006  2,078,977  2,106,725  1.38x  3,635,042  1,999,200  2,104,377  1.73x  1.38x      618   1,154  0.90x
get_1k_p16_c50    reactor   2,595,218  2,053,797  2,102,150  1.23x  3,075,977  1,999,200  2,104,377  1.46x  1.23x      663   1,207  0.94x
set_64b_p16_c50   single    3,007,205  2,933,871  2,858,766  1.02x  4,209,640  2,962,085  2,856,327  1.42x  1.02x      599     234  1.91x
set_64b_p16_c50   pair      3,396,082  2,942,239  2,848,334  1.15x  4,704,776  2,962,085  2,856,327  1.59x  1.15x      561     234  1.92x
set_64b_p16_c50   reactor   3,170,660  2,942,504  2,851,181  1.08x  3,999,200  2,962,085  2,856,327  1.35x  1.08x      558     247  2.02x
set_1k_p16_c50    single    2,674,662  2,580,132  2,303,262  1.04x  3,635,042  2,352,388  2,221,235  1.55x  1.04x      658   1,155  0.87x
set_1k_p16_c50    pair      3,032,895  2,564,735  2,317,146  1.18x  3,635,042  2,352,388  2,221,235  1.55x  1.18x      592   1,156  0.87x
set_1k_p16_c50    reactor   2,726,243  2,583,834  2,298,102  1.06x  3,332,223  2,352,388  2,221,235  1.42x  1.06x      656   1,157  0.88x
get_64b_p1_c512   single      754,759  1,085,514  1,025,148  0.70x    666,223    921,376    856,409  0.72x  0.70x    2,662     328  2.64x
get_64b_p1_c512   pair        683,023  1,083,261  1,017,387  0.63x    704,556    921,376    856,409  0.76x  0.63x    3,185     331  2.66x
get_64b_p1_c512   reactor   1,010,118  1,082,436  1,019,924  0.93x    855,920    921,376    856,409  0.93x  0.93x    1,006     521  4.18x
get_1k_p1_c512    single      557,687  1,052,144    995,554  0.53x    545,058    921,376    856,409  0.59x  0.53x    4,039   1,181  0.92x
get_1k_p1_c512    pair        620,852  1,051,010    989,674  0.59x    630,517    921,376    856,409  0.68x  0.59x    3,609   1,185  0.92x
get_1k_p1_c512    reactor     961,274  1,052,842  1,002,064  0.91x    855,676    921,376    856,409  0.93x  0.91x    1,060   1,449  1.13x
set_64b_p1_c512   single      830,994  1,029,783  1,000,029  0.81x    705,219    921,376    922,226  0.76x  0.76x    2,357     328  2.67x
set_64b_p1_c512   pair        768,326  1,025,318    999,244  0.75x    704,556    921,376    922,226  0.76x  0.75x    2,593     331  2.70x
set_64b_p1_c512   reactor   1,010,807  1,041,372  1,002,059  0.97x    855,920    921,376    922,226  0.93x  0.93x    1,007     521  4.24x
set_1k_p1_c512    single      834,831    954,321    854,965  0.87x    665,927    856,164    799,360  0.78x  0.78x    2,055   1,245  0.95x
set_1k_p1_c512    pair        808,263    948,700    845,964  0.85x    748,503    856,164    799,360  0.87x  0.85x    2,488   1,248  0.96x
set_1k_p1_c512    reactor     966,225    950,418    850,983  1.02x    855,920    856,164    799,360  1.00x  1.00x    1,070   1,428  1.10x
get_64b_p1_c50    single      342,572    335,797    652,163  0.53x    666,222    444,444    799,360  0.83x  0.53x      451     227  1.86x
