f3 arena-rss A/B matrix (issue #542, lab 20)
before = osingle/oreactor (main 49ab548, heap arena); after = nsingle/nreactor (branch, mapped arena + leased buffers)
throughput HEAD = min(ab-ratio, rb-ratio), each min over both rivals
memory bar (tightened): aki loaded-idle RSS <= 1.0x leanest rival for the same 1M-key dataset; ideal 0.5x

THROUGHPUT
cell              arm           aki_ab   r_ab     aki_rb   r_rb   HEAD    p99us
-------------------------------------------------------------------------------
get_64b_p16_c512  osingle    3,820,105  0.82x  3,805,899  0.81x  0.81x    4,809
get_64b_p16_c512  oreactor   7,004,969  1.50x  6,657,790  1.42x  1.42x    2,574
get_64b_p16_c512  nsingle    3,756,773  0.80x  4,435,574  0.94x  0.80x    4,899
get_64b_p16_c512  nreactor   7,164,788  1.53x  6,644,518  1.41x  1.41x    2,492

set_64b_p16_c512  osingle    4,722,435  1.28x  4,439,512  1.28x  1.28x    3,703
set_64b_p16_c512  oreactor   6,975,936  1.89x  6,146,282  1.77x  1.77x    2,617
set_64b_p16_c512  nsingle    4,606,072  1.25x  4,988,776  1.44x  1.25x    3,770
set_64b_p16_c512  nreactor   7,008,419  1.90x  6,134,970  1.77x  1.77x    2,583

get_1k_p16_c512   osingle    2,764,009  1.30x  2,853,881  1.36x  1.30x    6,066
get_1k_p16_c512   oreactor   3,835,948  1.85x  3,985,652  1.90x  1.85x    4,289
get_1k_p16_c512   nsingle    2,724,687  1.32x  3,067,485  1.46x  1.32x    6,250
get_1k_p16_c512   nreactor   4,065,361  1.96x  4,428,698  2.11x  1.96x    4,239

set_1k_p16_c512   osingle    3,970,902  1.29x  3,988,831  1.40x  1.29x    4,207
set_1k_p16_c512   oreactor   4,157,588  1.34x  3,993,610  1.40x  1.34x    3,820
set_1k_p16_c512   nsingle    3,542,916  1.15x  3,980,892  1.40x  1.15x    4,755
set_1k_p16_c512   nreactor   4,480,818  1.46x  4,426,738  1.55x  1.46x    3,686

get_64b_p1_c512   osingle      800,333  0.73x    705,219  0.76x  0.73x    2,476
get_64b_p1_c512   oreactor   1,024,288  0.93x    855,920  0.93x  0.93x    1,004
get_64b_p1_c512   nsingle      914,104  0.84x    798,297  0.87x  0.84x    2,122
get_64b_p1_c512   nreactor   1,018,402  0.93x    855,432  0.93x  0.93x    1,006

set_64b_p1_c512   osingle      942,928  0.90x    749,438  0.81x  0.81x    2,047
set_64b_p1_c512   oreactor   1,020,725  0.99x    856,409  0.93x  0.93x    1,004
set_64b_p1_c512   nsingle      771,058  0.75x    748,503  0.81x  0.75x    2,599
set_64b_p1_c512   nreactor   1,020,508  0.98x    855,676  0.93x  0.93x      999

MEMORY = same-data in-memory fit (MiB). bars vs leanest rival, goal <= 1.0x each.
loadRSS = own post-rb idle (1M keys resident); peakHWM = max VmHWM in cell (transient peak).
ledgB/key = internal used_memory per key; rssB/key = resident growth per key.
