f3 io_uring A/B matrix (M10 slice 3)
per arm: ab ratio = min over rivals from the same invocation; rb ratio = min over rivals, rb-vs-rb; HEAD = min(ab, rb)

cell              arm          aki_ab     rds_ab     vky_ab   r_ab     aki_rb     rds_rb     vky_rb   r_rb   HEAD    p99us     rss  r_rss
-----------------------------------------------------------------------------------------------------------------------------------------
get_64b_p16_c512  single    5,740,042  4,725,171  3,950,886  1.21x  5,324,814  4,438,526  3,806,624  1.20x  1.20x    3,072     280  2.23x
get_64b_p16_c512  reactor   7,174,371  4,708,529  3,952,233  1.52x  6,644,518  4,438,526  3,806,624  1.50x  1.50x    2,662     307  2.44x
get_64b_p16_c512  uring     6,864,952  4,691,646  3,952,307  1.46x  6,138,736  4,438,526  3,806,624  1.38x  1.38x    2,593     510  4.06x
get_1k_p16_c512   single    2,901,963  2,091,280  1,883,894  1.39x  2,853,067  1,996,805  1,902,588  1.43x  1.39x    5,890   2,342  1.81x
get_1k_p16_c512   reactor   4,110,167  2,115,214  1,851,832  1.94x  3,993,610  1,996,805  1,902,588  2.00x  1.94x    4,112   1,695  1.31x
get_1k_p16_c512   uring     3,570,441  2,082,934  1,785,668  1.71x  3,984,064  1,996,805  1,902,588  2.00x  1.71x    4,440   1,873  1.45x
set_64b_p16_c512  single    3,919,597  3,704,389  2,934,750  1.06x  3,805,175  3,473,428  2,853,881  1.10x  1.06x    4,600     281  2.21x
set_64b_p16_c512  reactor   7,038,919  3,705,048  2,936,544  1.90x  6,136,852  3,473,428  2,853,881  1.77x  1.77x    2,695     245  1.92x
set_64b_p16_c512  uring     6,711,764  3,690,235  2,919,576  1.82x  6,134,970  3,473,428  2,853,881  1.77x  1.77x    2,687     419  3.29x
set_1k_p16_c512   single    3,160,287  3,087,829  2,103,219  1.02x  3,072,196  2,849,815  1,996,008  1.08x  1.02x    5,386   1,224  0.93x
set_1k_p16_c512   reactor   4,536,331  3,098,080  2,110,019  1.46x  3,993,610  2,849,815  1,996,008  1.40x  1.40x    3,699   1,177  0.90x
set_1k_p16_c512   uring     4,032,097  3,099,242  2,097,045  1.30x  3,980,892  2,849,815  1,996,008  1.40x  1.30x    3,961   1,356  1.03x
get_64b_p16_c50   single    2,840,919  3,336,174  3,803,322  0.75x  3,808,073  3,199,488  3,808,798  1.00x  0.75x      632     138  1.13x
get_64b_p16_c50   reactor   3,199,526  3,315,387  3,805,358  0.84x  3,999,200  3,199,488  3,808,798  1.05x  0.84x      552     142  1.16x
get_64b_p16_c50   uring     3,091,237  3,312,844  3,795,357  0.81x  3,999,200  3,199,488  3,808,798  1.05x  0.81x      552     178  1.46x
get_1k_p16_c50    single    2,415,812  2,043,135  2,123,402  1.14x  2,856,327  1,999,200  2,104,820  1.36x  1.14x      726   1,110  0.86x
get_1k_p16_c50    reactor   2,618,286  2,065,445  2,118,752  1.24x  2,856,327  1,999,200  2,104,820  1.36x  1.24x      665   1,108  0.86x
get_1k_p16_c50    uring     2,497,320  2,064,099  2,108,365  1.18x  2,856,327  1,999,200  2,104,820  1.36x  1.18x      658   1,157  0.90x
set_64b_p16_c50   single    2,536,257  2,937,711  2,872,152  0.86x  3,199,488  2,962,085  2,856,327  1.08x  0.86x      690     146  1.20x
set_64b_p16_c50   reactor   3,194,628  2,935,858  2,869,304  1.09x  3,998,401  2,962,085  2,856,327  1.35x  1.09x      551     141  1.16x
set_64b_p16_c50   uring     3,083,380  2,928,481  2,868,583  1.05x  3,998,401  2,962,085  2,856,327  1.35x  1.05x      552     171  1.40x
set_1k_p16_c50    single    2,474,589  2,592,822  2,257,280  0.95x  3,075,977  2,352,388  2,221,235  1.31x  0.95x      706   1,059  0.80x
set_1k_p16_c50    reactor   2,748,095  2,574,184  2,263,853  1.07x  3,075,977  2,352,388  2,221,235  1.31x  1.07x      640   1,059  0.80x
set_1k_p16_c50    uring     2,592,402  2,578,745  2,252,189  1.01x  3,332,223  2,352,388  2,221,235  1.42x  1.01x      641   1,090  0.82x
get_64b_p1_c512   single      687,500  1,101,156  1,027,685  0.62x    630,915    921,093    922,509  0.68x  0.62x    2,996     254  2.03x
get_64b_p1_c512   reactor   1,031,764  1,082,899  1,022,652  0.95x    855,676    921,093    922,509  0.93x  0.93x    1,011     137  1.09x
get_64b_p1_c512   uring     1,038,008  1,096,355  1,037,485  0.95x    855,188    921,093    922,509  0.93x  0.93x    1,023     338  2.70x
get_1k_p1_c512    single      603,360  1,068,598    996,746  0.56x    570,994    921,376    856,409  0.62x  0.56x    3,672   1,068  0.83x
get_1k_p1_c512    reactor     994,827  1,065,071    995,651  0.93x    855,676    921,376    856,409  0.93x  0.93x    1,053   1,055  0.82x
get_1k_p1_c512    uring       969,107  1,055,078    996,867  0.92x    798,935    921,376    856,409  0.87x  0.87x    1,120   1,246  0.97x
set_64b_p1_c512   single      606,825  1,035,466  1,019,929  0.59x    630,385    921,093    921,942  0.68x  0.59x    3,611     246  2.00x
set_64b_p1_c512   reactor   1,032,547  1,039,960  1,017,994  0.99x    855,432    921,093    921,942  0.93x  0.93x      997     161  1.31x
set_64b_p1_c512   uring     1,026,786  1,038,661  1,022,130  0.99x    798,509    921,093    921,942  0.87x  0.87x    1,038     311  2.53x
set_1k_p1_c512    single      566,489    968,700    864,497  0.58x    545,157    921,376    799,574  0.59x  0.58x    3,910   1,159  0.88x
set_1k_p1_c512    reactor   1,002,284    968,814    864,189  1.03x    855,920    921,376    799,574  0.93x  0.93x    1,037   1,096  0.83x
set_1k_p1_c512    uring       987,767    975,174    862,664  1.01x    798,935    921,376    799,574  0.87x  0.87x    1,085   1,227  0.93x
get_64b_p1_c50    single      335,967    338,567    667,965  0.50x    571,429    444,247    800,000  0.71x  0.50x      457     133  1.09x
get_64b_p1_c50    reactor     275,461    336,070    650,738  0.42x    333,222    444,247    800,000  0.42x  0.42x      455     132  1.08x
get_64b_p1_c50    uring       271,410    339,350    668,979  0.41x    399,840    444,247    800,000  0.50x  0.41x      441     164  1.34x
get_1k_p1_c50     single      334,955    329,696    636,561  0.53x    571,429    444,247    800,000  0.71x  0.53x      453   1,049  0.82x
get_1k_p1_c50     reactor     270,581    328,334    638,396  0.42x    333,222    444,247    800,000  0.42x  0.42x      459   1,050  0.82x
get_1k_p1_c50     uring       267,218    325,588    632,127  0.42x    399,840    444,247    800,000  0.50x  0.42x      453   1,078  0.84x
set_64b_p1_c50    single      331,316    324,673    621,360  0.53x    499,750    444,247    799,360  0.63x  0.53x      460     131  1.08x
