cell,workload,cardinality,ratio_min,aki_ops,redis_ops,valkey_ops,aki_p99_us,redis_p99_us,valkey_p99_us,aki_hwm_kb,redis_hwm_kb,valkey_hwm_kb,aki_bpm,redis_bpm,valkey_bpm,reps
band_100,sismember,100,1.252,7954732.734098961,6353071.914143243,4309314.830974111,3026.943,2041.855,2402.303,348544,18516,81104,3499212.8,96215.0,735313.9,3
band_130k,sismember,130000,1.15,7021556.035926982,6107569.177648533,4152691.185312808,2732.031,1795.071,3387.391,345180,21760,21120,2665.2,99.6,93.1,3
band_2000,sismember,2000,1.134,7137091.893683533,6292215.020453199,4312583.595278379,2770.943,2097.151,2373.631,371908,19352,17836,186923.0,5238.8,4372.5,3
band_2m,sismember,2000000,1.226,7486985.206493896,6106713.822186614,4236037.627115583,2289.663,1959.935,2543.615,451952,80452,96416,227.9,36.5,44.6,3
band_300k,sismember,300000,1.143,7236433.35435187,6333243.7189060245,4275885.704851843,2588.671,2089.983,2557.951,406900,30636,27708,1365.6,73.4,62.8,3
band_500,sismember,500,1.137,7248248.814135015,6376617.233612099,4312375.482465325,2990.079,2081.791,2457.599,349468,19036,17896,701734.9,20308.0,17612.8,3
saddmember_c1,saddmember,1,1.357,9004219.56578871,6634748.357750506,4390309.307213119,2430.975,2065.407,2424.831,227852,42420,47368,226332672.0,34099200.0,38985728.0,3
saddmember_c10,saddmember,10,1.3,8460487.026916476,6508911.329278806,4400255.361113423,2619.391,1907.711,2463.743,195148,16428,15336,19284377.6,748339.2,618496.0,3
saddmember_c10k,saddmember,10000,1.245,7793919.792524413,6258704.627994512,4198393.647954804,2439.167,1813.503,3321.855,169896,16896,15736,16698.6,796.3,659.5,3
saddmember_c1m,saddmember,1000000,1.394,8349515.140122712,5989015.6451974185,4328040.129928992,2121.727,1993.727,2385.919,242916,49072,52412,241.8,40.9,44.2,3
scard_c10k,scard,10000,1.292,9530206.24831281,7376081.4060016945,4712889.594146328,2916.351,1836.031,2172.927,244076,15876,15488,24294.6,691.8,634.1,3
scard_c1m,scard,1000000,1.375,10131075.960883344,7368408.937534153,4757149.317095737,2248.703,1783.807,2154.495,190008,50536,51316,187.6,42.4,43.0,3
sdiff_1m,sdiff,1000000,3.355,30.645656353800316,6.005998593841075,9.135314042014175,289931.263,2894069.759,1390411.775,231020,194076,263260,229.7,189.7,260.3,3
sdiffstore_1m,sdiffstore,1000000,1.478,16.51720589630188,6.414879447591157,11.17478897875709,1010827.263,3317694.463,1509949.439,482152,117568,172004,486.8,111.3,166.8,3
sinter_10,sinter,10,1.279,53163.404106098475,41165.09814211645,41559.77084712963,342.271,262.143,271.615,13104,10316,9728,651673.6,151961.6,63897.6,3
sinter_1m,sinter,1000000,1.838,30.15735877426506,9.134506484555153,16.406596339066112,310378.495,1400897.535,745537.535,294432,150792,194444,294.6,145.4,189.8,3
sinter_256,sinter,256,0.661,59623.37705222329,64835.96192306674,90164.43013436197,322.047,222.975,134.399,12756,10248,9712,24064.0,5664.0,2432.0,3
sintercard_1m,sintercard,1000000,1.701,46.31003353817371,12.408216840046823,27.224628267488523,354942.975,1776287.743,591921.151,110544,76676,91948,106.3,69.5,84.8,3
sinterstore_10k,sinterstore,10000,0.01,16.221014977819024,1356.092619852581,1677.0176426482165,60028878.847,10083106.815,9344909.311,501092,24856,16876,50621.6,1640.9,795.9,3
sinterstore_10k_c16,sinterstore,10000,2.853,4477.2361789731385,1261.5582759437366,1569.2723444277208,4093.951,13975.551,10887.167,18700,10844,10640,1224.7,206.0,157.3,3
sinterstore_1m,sinterstore,1000000,1.467,16.80932317847848,6.37740817393397,11.454884313945385,1014497.279,3514826.751,1407188.991,269920,108896,119996,269.5,102.5,113.6,3
sismember_c1,sismember,1,1.314,8900228.818622073,6774608.136437309,4330691.682944313,3620.863,2019.327,2406.399,90108,15420,13932,85282816.0,6451200.0,4747264.0,3
sismember_c10,sismember,10,1.452,9669251.527645921,6658737.1943030795,4270529.046258237,2244.607,1949.695,3295.231,128184,15640,13744,12427264.0,667648.0,455475.2,3
sismember_c10k,sismember,10000,1.423,9091763.984658059,6391370.099490655,4305956.876618559,2496.511,2034.687,2410.495,153316,15392,14684,15000.8,642.3,551.7,3
