merge-versus-probe crossover sweep, 2026-07-11
total op ns per kernel; perOut is ns per matched member; crossover = least k with probe < merge

card   sz    k    ov       out     probeNs     mergeNs    gallopNs   ns/prb   ns/elm

1k      8    1  0.10       100        4064       31956       31449      4.1    15.98

1k      8    1  0.50       500        5302       32964       32387      5.3    16.48

1k      8    1  0.90       900        6291       31870       32137      6.3    15.94

1k      8    2  0.10       100        3776       44599       35016      3.8    14.87

1k      8    2  0.50       500        5279       38127       36123      5.3    12.71

1k      8    2  0.90       900        6409       38300       37487      6.4    12.77

1k      8    4  0.10       100        3786       46486       35883      3.8     9.30

1k      8    4  0.50       500        5261       46395       38916      5.3     9.28

1k      8    4  0.90       900        6557       48289       40986      6.6     9.66

1k      8    7  0.10       100        6060       55775       38577      6.1     6.97

1k      8    7  0.50       500        6629       57280       41792      6.6     7.16

1k      8    7  0.90       900        7153       59160       43351      7.2     7.40

1k      8    8  0.10       100        4021       58475       38187      4.0     6.50

1k      8    8  0.50       500        5454       60154       41445      5.5     6.68

1k      8    8  0.90       900        7239       61909       43803      7.2     6.88

1k      8   16  0.10       100        3985       82719       43879      4.0     4.87

1k      8   16  0.50       500        5979       84367       46276      6.0     4.96

1k      8   16  0.90       900        7247       85667       47910      7.2     5.04

1k      8   32  0.10       100        4181      128961       48867      4.2     3.91

1k      8   32  0.50       500        6082      130996       51081      6.1     3.97

1k      8   32  0.90       900        8427      131820       52122      8.4     3.99

1k      8   64  0.10       100        4209      224967       53651      4.2     3.46

1k      8   64  0.50       500        6371      223077       53127      6.4     3.43

1k      8   64  0.90       900        8574      225275       55357      8.6     3.47

1k     32    1  0.10       100        4838       32385       31496      4.8    16.19

1k     32    1  0.50       500       10882       38476       41378     10.9    19.24

1k     32    1  0.90       900       15634       37501       41712     15.6    18.75

1k     32    2  0.10       100        5140       41297       36002      5.1    13.77

1k     32    2  0.50       500       10971       42503       44500     11.0    14.17

1k     32    2  0.90       900       16464       45948       50146     16.5    15.32

1k     32    4  0.10       100        5190       46740       38581      5.2     9.35

1k     32    4  0.50       500       11332       50271       47411     11.3    10.05

1k     32    4  0.90       900       17185       57406       54000     17.2    11.48

1k     32    7  0.10       100        7607       56611       41739      7.6     7.08

1k     32    7  0.50       500       13307       59457       49658     13.3     7.43

1k     32    7  0.90       900       18661       64047       58518     18.7     8.01

1k     32    8  0.10       100        5389       60144       40213      5.4     6.68

1k     32    8  0.50       500       12149       62584       49110     12.1     6.95

1k     32    8  0.90       900       18494       67076       59191     18.5     7.45

1k     32   16  0.10       100        5494       83091       46232      5.5     4.89

1k     32   16  0.50       500       13113       87204       53925     13.1     5.13

1k     32   16  0.90       900       20320       92070       61942     20.3     5.42

1k     32   32  0.10       100        5678      129065       50410      5.7     3.91

1k     32   32  0.50       500       13643      134908       60647     13.6     4.09

1k     32   32  0.90       900       21736      136975       66324     21.7     4.15

1k     32   64  0.10       100        5831      223973       53595      5.8     3.45

1k     32   64  0.50       500       16215      227962       64471     16.2     3.51

1k     32   64  0.90       900       22872      230011       72356     22.9     3.54

1k     64    1  0.10       100        5699       33925       31961      5.7    16.96

1k     64    1  0.50       500       13905       43678       45574     13.9    21.84

1k     64    1  0.90       900       22750       47416       49544     22.8    23.71

1k     64    2  0.10       100        5867       41168       36815      5.9    13.72

1k     64    2  0.50       500       14593       50235       51119     14.6    16.75

1k     64    2  0.90       900       23291       57813       58530     23.3    19.27

1k     64    4  0.10       100        5944       48614       38884      5.9     9.72

1k     64    4  0.50       500       15260       56885       52229     15.3    11.38

1k     64    4  0.90       900       23928       67008       63282     23.9    13.40

1k     64    7  0.10       100        8667       57100       42255      8.7     7.14

1k     64    7  0.50       500       17709       65937       54681     17.7     8.24

1k     64    7  0.90       900       25320       74204       65901     25.3     9.28

1k     64    8  0.10       100        6085       60249       41802      6.1     6.69

1k     64    8  0.50       500       16531       68261       54012     16.5     7.58

1k     64    8  0.90       900       24889       77480       68324     24.9     8.61

1k     64   16  0.10       100        6237       84395       46195      6.2     4.96

1k     64   16  0.50       500       17224       92483       59883     17.2     5.44

1k     64   16  0.90       900       27308      101101       72366     27.3     5.95

1k     64   32  0.10       100        6492      140179       51566      6.5     4.25

1k     64   32  0.50       500       19080      140020       64383     19.1     4.24

1k     64   32  0.90       900       28411      146977       75173     28.4     4.45

1k     64   64  0.10       100        6425      222984       55621      6.4     3.43

1k     64   64  0.50       500       20529      236490       69320     20.5     3.64

1k     64   64  0.90       900       30597      243003       79864     30.6     3.74

100k    8    1  0.10     10000      967090     1200539     1109269      9.7     6.00

100k    8    1  0.50     50000      929096     1388435     1378342      9.3     6.94

100k    8    1  0.90     90000      887750     1072394     1065166      8.9     5.36

100k    8    2  0.10     10000     1016796     1566079     1422633     10.2     5.22

100k    8    2  0.50     50000     1034246     1761897     1793550     10.3     5.87

100k    8    2  0.90     90000      989725     1924678     1804610      9.9     6.42

100k    8    4  0.10     10000     1065183     2195382     1826349     10.7     4.39

100k    8    4  0.50     50000     1144721     2332725     2165157     11.4     4.67

100k    8    4  0.90     90000     1177084     2592270     2180180     11.8     5.18

100k    8    7  0.10     10000      873832     3309574     2187799      8.7     4.14

100k    8    7  0.50     50000     1132061     3346013     2557697     11.3     4.18

100k    8    7  0.90     90000     1336708     3581209     2549654     13.4     4.48

100k    8    8  0.10     10000     1219136     3434138     2299212     12.2     3.82

100k    8    8  0.50     50000     1323477     3691736     2680834     13.2     4.10

100k    8    8  0.90     90000     1410583     3963792     2693066     14.1     4.40

100k    8   16  0.10     10000     1445916     6142871     2982597     14.5     3.61

100k    8   16  0.50     50000     1775965     6668634     4537557     17.8     3.92

100k    8   16  0.90     90000     1936901     6971037     4717615     19.4     4.10

100k    8   32  0.10     10000     1586267    10930805     4774976     15.9     3.31

100k    8   32  0.50     50000     2403969    12700494     6946748     24.0     3.85

100k    8   32  0.90     90000     2951654    14243824     7909250     29.5     4.32

100k    8   64  0.10     10000     1837908    20998175     7452163     18.4     3.23

100k    8   64  0.50     50000     3401092    23805905     9933156     34.0     3.66

100k    8   64  0.90     90000     4835986    26163160    11097944     48.4     4.03

100k   32    1  0.10     10000     1156920     1273460     1214188     11.6     6.37

100k   32    1  0.50     50000     1703260     1892297     2024094     17.0     9.46

100k   32    1  0.90     90000     2161341     2154454     2122134     21.6    10.77

100k   32    2  0.10     10000     1281783     1677250     1556251     12.8     5.59

100k   32    2  0.50     50000     1990697     2328445     2429912     19.9     7.76

100k   32    2  0.90     90000     2641679     3081550     3037143     26.4    10.27

100k   32    4  0.10     10000     1470172     2345028     1945712     14.7     4.69

100k   32    4  0.50     50000     2378331     3216746     3015940     23.8     6.43

100k   32    4  0.90     90000     3216187     4120639     3638025     32.2     8.24

100k   32    7  0.10     10000     1325577     3378366     2274127     13.3     4.22

100k   32    7  0.50     50000     2907692     4645982     3902795     29.1     5.81

100k   32    7  0.90     90000     4104360     5654630     4584947     41.0     7.07

100k   32    8  0.10     10000     1687713     3706753     2402208     16.9     4.12

100k   32    8  0.50     50000     3256675     5535002     4850895     32.6     6.15

100k   32    8  0.90     90000     4277177     6196832     5619763     42.8     6.89

100k   32   16  0.10     10000     2236343     6361319     3457503     22.4     3.74

100k   32   16  0.50     50000     6457439     9691095     7078706     64.6     5.70

100k   32   16  0.90     90000     8526922    12612364     9797073     85.3     7.42

100k   32   32  0.10     10000     2407314    11180191     5511800     24.1     3.39

100k   32   32  0.50     50000     9653392    15527298     8987555     96.5     4.71

100k   32   32  0.90     90000    14204803    18908652    11825930    142.0     5.73

100k   32   64  0.10     10000     2988884    21433453     7862571     29.9     3.30

100k   32   64  0.50     50000    11315452    26151224    12078192    113.2     4.02

100k   32   64  0.90     90000    19917744    30529834    15258017    199.2     4.70

100k   64    1  0.10     10000     1269236     1446786     1367713     12.7     7.23

100k   64    1  0.50     50000     2152100     2708347     2754804     21.5    13.54

100k   64    1  0.90     90000     2924330     3768889     3727496     29.2    18.84

