driver,workload,page,val,dist,ops,ns_per_op,ops_per_s
modernc,load,4096,16,uniform,200000,1578,633835
modernc,step,4096,16,uniform,500000,819,1220951
modernc,get-hot,4096,16,uniform,500000,2720,367680
modernc,get-cold,4096,16,uniform,500000,2930,341281
modernc,set,4096,16,uniform,50000,3741,267337
modernc,drain,4096,16,uniform,200000,1920,520730
modernc,helem-drain,4096,16,uniform,200000,2368,422314
modernc,helem-get,4096,16,uniform,500000,2977,335931
modernc,pool-read-r4,4096,16,uniform,455194,4394,227597
modernc,pool-drain-r4,4096,16,uniform,180224,11097,90112
modernc,load,4096,16,zipf,200000,1608,621830
modernc,step,4096,16,zipf,500000,826,1210439
modernc,get-hot,4096,16,zipf,500000,2599,384745
modernc,get-cold,4096,16,zipf,500000,2789,358526
modernc,set,4096,16,zipf,50000,3768,265392
modernc,drain,4096,16,zipf,200000,1916,521940
modernc,helem-drain,4096,16,zipf,200000,2353,425053
modernc,helem-get,4096,16,zipf,500000,2947,339275
modernc,pool-read-r4,4096,16,zipf,585967,3413,292984
modernc,pool-drain-r4,4096,16,zipf,224576,8906,112288
modernc,load,4096,128,uniform,200000,1957,511063
modernc,step,4096,128,uniform,500000,832,1201549
modernc,get-hot,4096,128,uniform,500000,3184,314062
modernc,get-cold,4096,128,uniform,500000,3413,293034
modernc,set,4096,128,uniform,50000,3949,253208
modernc,drain,4096,128,uniform,200000,2084,479758
modernc,helem-drain,4096,128,uniform,200000,2791,358312
modernc,helem-get,4096,128,uniform,500000,3400,294123
modernc,pool-read-r4,4096,128,uniform,396513,5044,198256
modernc,pool-drain-r4,4096,128,uniform,151552,13197,75776
modernc,load,4096,128,zipf,200000,1934,517026
modernc,step,4096,128,zipf,500000,835,1197988
modernc,get-hot,4096,128,zipf,500000,2754,363045
modernc,get-cold,4096,128,zipf,500000,3007,332553
modernc,set,4096,128,zipf,50000,3905,256082
modernc,drain,4096,128,zipf,200000,2110,474043
modernc,helem-drain,4096,128,zipf,200000,2802,356882
modernc,helem-get,4096,128,zipf,500000,3053,327499
modernc,pool-read-r4,4096,128,zipf,545007,3670,272504
modernc,pool-drain-r4,4096,128,zipf,188416,10615,94208
modernc,load,4096,512,uniform,200000,2998,333503
modernc,step,4096,512,uniform,500000,828,1207836
modernc,get-hot,4096,512,uniform,500000,4294,232865
modernc,get-cold,4096,512,uniform,500000,4556,219488
modernc,set,4096,512,uniform,50000,4372,228722
modernc,drain,4096,512,uniform,200000,2522,396583
modernc,helem-drain,4096,512,uniform,200000,4089,244564
modernc,helem-get,4096,512,uniform,500000,4446,224931
modernc,pool-read-r4,4096,512,uniform,292790,6831,146395
modernc,pool-drain-r4,4096,512,uniform,98304,20345,49152
modernc,load,4096,512,zipf,200000,2985,335004
modernc,step,4096,512,zipf,500000,831,1203543
modernc,get-hot,4096,512,zipf,500000,3163,316148
modernc,get-cold,4096,512,zipf,500000,3438,290850
modernc,set,4096,512,zipf,50000,4317,231656
modernc,drain,4096,512,zipf,200000,2525,396085
modernc,helem-drain,4096,512,zipf,200000,4032,248008
modernc,helem-get,4096,512,zipf,500000,3603,277544
modernc,pool-read-r4,4096,512,zipf,476182,4200,238091
modernc,pool-drain-r4,4096,512,zipf,135168,14796,67584
