arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
cap,10,16,uniform,1,1,aki redis valkey,1157049,f3,unknown,1751247.1,1751247.1,1,393.471,3457.023,73639088,106397696,0,1
cap,10,16,uniform,1,1,aki redis valkey,1157049,redis,redis 8.8.0,2419141.4,2419141.4,1,318.463,2793.471,86490064,112566272,0,1
cap,10,16,uniform,1,1,aki redis valkey,1157049,valkey,valkey 9.1.0,2528582.5,2528582.5,1,278.271,3870.719,74494672,86704128,0,1
cap,10,16,uniform,1,2,valkey redis aki,1157049,f3,unknown,1760336.8,1760336.8,1,390.911,3508.223,73639088,105422848,0,1
cap,10,16,uniform,1,2,valkey redis aki,1157049,redis,redis 8.8.0,2368847.2,2368847.2,1,323.071,2973.695,86495504,113123328,0,1
cap,10,16,uniform,1,2,valkey redis aki,1157049,valkey,valkey 9.1.0,2541158.8,2541158.8,1,276.991,3862.527,74477008,86323200,0,1
cap,10,16,uniform,4,1,aki redis valkey,4628197,f3,unknown,510114.4,510114.4,1,1956.863,3258.367,294814896,364015616,0,1
cap,10,16,uniform,4,1,aki redis valkey,4628197,redis,redis 8.8.0,1261074.7,1189994.1,0.9436,534.015,2734.079,133855320,151515136,0,0.3715
cap,10,16,uniform,4,1,aki redis valkey,4628197,valkey,valkey 9.1.0,1337194.1,1272569.2,0.9517,697.855,2506.751,134047600,148746240,0,0.4645
cap,10,16,uniform,4,2,valkey redis aki,4628197,f3,unknown,512178.3,512178.3,1,1951.743,3182.591,294814896,364593152,0,1
cap,10,16,uniform,4,2,valkey redis aki,4628197,redis,redis 8.8.0,1237832.5,1168054.9,0.9436,554.495,2815.999,133782256,153686016,0,0.392
cap,10,16,uniform,4,2,valkey redis aki,4628197,valkey,valkey 9.1.0,1320957.3,1257065.7,0.9516,710.655,2476.031,134030568,148619264,0,0.458
cap,10,16,uniform,16,1,aki redis valkey,18512790,f3,unknown,463873.6,463873.6,1,2156.543,3516.415,1179571360,1377918976,0,1
cap,10,16,uniform,16,1,aki redis valkey,18512790,redis,redis 8.8.0,989166.7,901588.2,0.9115,1035.775,2885.631,133826784,154353664,0,0.0835
cap,10,16,uniform,16,1,aki redis valkey,18512790,valkey,valkey 9.1.0,988982.5,903575.8,0.9136,1030.143,1755.135,134015088,149114880,0,0.1135
cap,10,16,uniform,16,2,valkey redis aki,18512790,f3,unknown,462187.3,462187.3,1,2158.591,3586.047,1179571360,1368141824,0,1
cap,10,16,uniform,16,2,valkey redis aki,18512790,redis,redis 8.8.0,991178.8,903290.6,0.9113,1023.487,2893.823,133826096,152014848,0,0.0915
cap,10,16,uniform,16,2,valkey redis aki,18512790,valkey,valkey 9.1.0,956928.0,874355.9,0.9137,1067.007,1802.239,134013288,148328448,0,0.1125
cap,10,16,zipfian,1,1,aki redis valkey,1157049,f3,unknown,1775183.8,1775183.8,1,385.535,3407.871,73639088,107130880,0,1
cap,10,16,zipfian,1,1,aki redis valkey,1157049,redis,redis 8.8.0,2394538.3,2394538.3,1,313.087,2961.407,86490432,112517120,0,1
cap,10,16,zipfian,1,1,aki redis valkey,1157049,valkey,valkey 9.1.0,2511978.9,2511978.9,1,277.247,3876.863,74473232,86650880,0,1
cap,10,16,zipfian,1,2,valkey redis aki,1157049,f3,unknown,1765649.5,1765649.5,1,381.695,3571.711,73639088,106119168,0,1
cap,10,16,zipfian,1,2,valkey redis aki,1157049,redis,redis 8.8.0,2322009.1,2322009.1,1,323.583,2981.887,86496208,112844800,0,1
cap,10,16,zipfian,1,2,valkey redis aki,1157049,valkey,valkey 9.1.0,2480298.8,2480298.8,1,283.135,3870.719,74482640,86269952,0,1
cap,10,16,zipfian,4,1,aki redis valkey,4628197,f3,unknown,517721.9,517721.9,1,1927.167,3211.263,294814896,364507136,0,1
cap,10,16,zipfian,4,1,aki redis valkey,4628197,redis,redis 8.8.0,2033863.7,2014686.0,0.9906,351.231,2916.351,133779480,153333760,0,0.404
cap,10,16,zipfian,4,1,aki redis valkey,4628197,valkey,valkey 9.1.0,2100260.9,2081019.8,0.9908,353.535,3620.863,134014648,149381120,0,0.477
cap,10,16,zipfian,4,2,valkey redis aki,4628197,f3,unknown,520469.3,520469.3,1,1918.975,3192.831,294814896,362897408,0,1
cap,10,16,zipfian,4,2,valkey redis aki,4628197,redis,redis 8.8.0,2017232.0,1998103.9,0.9905,349.951,3031.039,133757944,153161728,0,0.401
cap,10,16,zipfian,4,2,valkey redis aki,4628197,valkey,valkey 9.1.0,2103340.0,2087492.2,0.9925,357.631,3497.983,133989280,148054016,0,0.472
cap,10,16,zipfian,16,1,aki redis valkey,18512790,f3,unknown,469649.1,469649.1,1,2127.871,3493.887,1179571360,1364017152,0,1
cap,10,16,zipfian,16,1,aki redis valkey,18512790,redis,redis 8.8.0,1756965.3,1720151.1,0.979,381.183,2844.671,133808856,154218496,0,0.09
cap,10,16,zipfian,16,1,aki redis valkey,18512790,valkey,valkey 9.1.0,1805858.8,1771005.4,0.9807,444.415,3123.199,134004840,149147648,0,0.1085
cap,10,16,zipfian,16,2,valkey redis aki,18512790,f3,unknown,469161.1,469161.1,1,2127.871,3540.991,1179571360,1385553920,0,1
cap,10,16,zipfian,16,2,valkey redis aki,18512790,redis,redis 8.8.0,1745836.7,1709140.7,0.979,381.183,2918.399,133762424,154710016,0,0.0945
cap,10,16,zipfian,16,2,valkey redis aki,18512790,valkey,valkey 9.1.0,1767049.5,1731853.4,0.9801,453.631,3108.863,134025216,148983808,0,0.12
cap,10,128,uniform,1,1,aki redis valkey,588674,f3,unknown,1752889.7,1752889.7,1,387.071,3567.615,103258560,139309056,0,1
cap,10,128,uniform,1,1,aki redis valkey,588674,redis,redis 8.8.0,2335112.9,2335112.9,1,341.247,2676.735,125053096,153808896,0,1
cap,10,128,uniform,1,1,aki redis valkey,588674,valkey,valkey 9.1.0,2258762.9,2258762.9,1,324.607,3866.623,123766800,219201536,0,1
