arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
cap,10,512,uniform,1,1,aki redis valkey,219310,f3,unknown,991978.9,991978.9,1,891.391,3684.351,123514656,187752448,0,1
cap,10,512,uniform,1,1,aki redis valkey,219310,redis,redis 8.8.0,1945367.7,1920366.4,0.9871,404.735,2492.415,133056064,226811904,0,0.8625
cap,10,512,uniform,1,1,aki redis valkey,219310,valkey,valkey 9.1.0,1838471.0,1815897.8,0.9877,444.671,3418.111,133487968,305704960,0,0.884
cap,10,512,uniform,1,2,valkey redis aki,219310,f3,unknown,983579.1,983579.1,1,905.215,3592.191,123514656,187498496,0,1
cap,10,512,uniform,1,2,valkey redis aki,219310,redis,redis 8.8.0,1885684.0,1861546.2,0.9872,417.791,2529.279,132976984,227381248,0,0.86
cap,10,512,uniform,1,2,valkey redis aki,219310,valkey,valkey 9.1.0,1823221.8,1800779.8,0.9877,451.327,3362.815,133296600,310321152,0,0.865
cap,10,512,uniform,4,1,aki redis valkey,877240,f3,unknown,467491.9,467491.9,1,2121.727,3543.039,494308608,563109888,0,1
cap,10,512,uniform,4,1,aki redis valkey,877240,redis,redis 8.8.0,1197430.2,1104480.0,0.9224,828.927,2000.895,133503912,277454848,0,0.217
cap,10,512,uniform,4,1,aki redis valkey,877240,valkey,valkey 9.1.0,1081409.8,997716.4,0.9226,901.119,2042.879,133749536,341659648,0,0.209
cap,10,512,uniform,4,2,valkey redis aki,877240,f3,unknown,469305.2,469305.2,1,2115.583,3502.079,494308608,563105792,0,1
cap,10,512,uniform,4,2,valkey redis aki,877240,redis,redis 8.8.0,1160560.6,1070539.3,0.9224,856.575,2059.263,133519088,276676608,0,0.218
cap,10,512,uniform,4,2,valkey redis aki,877240,valkey,valkey 9.1.0,1087849.7,1003486.5,0.9224,889.343,2097.151,133786640,337690624,0,0.217
cap,10,512,uniform,16,1,aki redis valkey,3508960,f3,unknown,16322.0,8906.6,0.5457,63340.543,66027.519,1074965504,1123971072,0,0.526
cap,10,512,uniform,16,1,aki redis valkey,3508960,redis,redis 8.8.0,1107342.7,1003611.7,0.9063,886.271,2033.663,133674920,274907136,0,0.059
cap,10,512,uniform,16,1,aki redis valkey,3508960,valkey,valkey 9.1.0,998545.5,905104.1,0.9064,972.799,2081.791,133970848,298078208,0,0.051
cap,10,512,uniform,16,2,valkey redis aki,3508960,f3,unknown,16509.7,9007.2,0.5456,63569.919,66093.055,1074965504,1123753984,0,0.526
cap,10,512,uniform,16,2,valkey redis aki,3508960,redis,redis 8.8.0,1083206.1,981419.2,0.906,906.239,2060.287,133665384,273592320,0,0.0635
