arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
cap,10,128,uniform,1,1,aki redis valkey,588674,f3,unknown,1752889.7,1752889.7,1,387.071,3567.615,103258560,139309056,0,1
cap,10,128,uniform,1,1,aki redis valkey,588674,redis,redis 8.8.0,2335112.9,2335112.9,1,341.247,2676.735,125053096,153808896,0,1
cap,10,128,uniform,1,1,aki redis valkey,588674,valkey,valkey 9.1.0,2258762.9,2258762.9,1,324.607,3866.623,123766800,219201536,0,1
cap,10,128,uniform,1,2,valkey redis aki,588674,f3,unknown,1759164.7,1759164.7,1,386.815,3549.183,103258560,141000704,0,1
cap,10,128,uniform,1,2,valkey redis aki,588674,redis,redis 8.8.0,2261302.8,2261302.8,1,352.255,2746.367,125058360,153653248,0,1
cap,10,128,uniform,1,2,valkey redis aki,588674,valkey,valkey 9.1.0,2234240.6,2234240.6,1,330.495,3862.527,123755152,214589440,0,1
cap,10,128,uniform,16,1,aki redis valkey,9418787,f3,unknown,16498.3,11383.7,0.69,65830.911,68419.583,1160704672,1253715968,0,0.7245
cap,10,128,uniform,16,1,aki redis valkey,9418787,redis,redis 8.8.0,939694.7,853193.6,0.9079,1112.063,2271.231,133787944,253075456,0,0.064
cap,10,128,uniform,16,1,aki redis valkey,9418787,valkey,valkey 9.1.0,908839.1,825398.9,0.9082,1089.535,2003.967,134032352,266031104,0,0.066
cap,10,128,uniform,16,2,valkey redis aki,9418787,f3,unknown,16243.9,11212.5,0.6903,66060.287,68419.583,1160704672,1257873408,0,0.7245
cap,10,128,uniform,16,2,valkey redis aki,9418787,redis,redis 8.8.0,924208.6,839288.5,0.9081,1123.327,2267.135,133809720,254128128,0,0.0595
cap,10,128,uniform,16,2,valkey redis aki,9418787,valkey,valkey 9.1.0,906953.4,823418.8,0.9079,1091.583,1985.535,134029008,259358720,0,0.058
cap,10,128,uniform,4,1,aki redis valkey,2354696,f3,unknown,504978.9,504978.9,1,1972.223,3276.799,413242944,467574784,0,1
cap,10,128,uniform,4,1,aki redis valkey,2354696,redis,redis 8.8.0,1037232.1,962393.2,0.9278,1026.047,2156.543,133769520,245248000,0,0.257
cap,10,128,uniform,4,1,aki redis valkey,2354696,valkey,valkey 9.1.0,1039873.3,966231.5,0.9292,944.127,2103.295,133989144,265379840,0,0.275
cap,10,128,uniform,4,2,valkey redis aki,2354696,f3,unknown,504187.4,504187.4,1,1976.319,3303.423,413242944,467251200,0,1
cap,10,128,uniform,4,2,valkey redis aki,2354696,redis,redis 8.8.0,1032356.6,958806.4,0.9288,1030.143,2209.791,133792616,247414784,0,0.2625
cap,10,128,uniform,4,2,valkey redis aki,2354696,valkey,valkey 9.1.0,1034330.6,961137.6,0.9292,951.807,2069.503,134018648,267247616,0,0.262
cap,10,128,zipfian,1,1,aki redis valkey,588674,f3,unknown,1757791.2,1757791.2,1,388.607,3461.119,103258560,139419648,0,1
cap,10,128,zipfian,1,1,aki redis valkey,588674,redis,redis 8.8.0,2339155.7,2339155.7,1,335.615,2680.831,125057368,155119616,0,1
cap,10,128,zipfian,1,1,aki redis valkey,588674,valkey,valkey 9.1.0,2242739.9,2242739.9,1,320.511,3917.823,123763984,210866176,0,1
cap,10,128,zipfian,1,2,valkey redis aki,588674,f3,unknown,1762918.1,1762918.1,1,387.071,3434.495,103258560,138842112,0,1
cap,10,128,zipfian,1,2,valkey redis aki,588674,redis,redis 8.8.0,2251678.5,2251678.5,1,347.903,2807.807,125057224,153743360,0,1
cap,10,128,zipfian,1,2,valkey redis aki,588674,valkey,valkey 9.1.0,2280704.1,2280704.1,1,314.367,3932.159,123763984,209416192,0,1
cap,10,128,zipfian,16,1,aki redis valkey,9418787,f3,unknown,56861.5,55482.5,0.9757,1573.887,67305.471,1160704672,1261731840,0,0.7245
