arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
cap,90,16,uniform,1,1,aki redis valkey,1157049,sqlo1,,1395718.9,1395718.9,1,566.783,3399.679,0,504565760,0,1
cap,90,16,uniform,1,1,aki redis valkey,1157049,redis,redis 8.8.0,2678186.8,2678186.8,1,269.567,2912.255,86487328,112525312,0,1
cap,90,16,uniform,1,1,aki redis valkey,1157049,valkey,valkey 9.1.0,3052519.6,3052519.6,1,207.231,3923.967,74464208,86515712,0,1
cap,90,16,uniform,1,2,valkey redis aki,1157049,sqlo1,,1390066.2,1390066.2,1,575.487,3389.439,0,503836672,0,1
cap,90,16,uniform,1,2,valkey redis aki,1157049,redis,redis 8.8.0,2565679.9,2565679.9,1,283.391,2988.031,86486672,113008640,0,1
cap,90,16,uniform,1,2,valkey redis aki,1157049,valkey,valkey 9.1.0,3050816.5,3050816.5,1,207.871,3960.831,74473744,86384640,0,1
cap,90,16,uniform,4,1,aki redis valkey,4628197,sqlo1,,1251208.6,1251208.6,1,527.871,4065.279,0,1892823040,0,1
cap,90,16,uniform,4,1,aki redis valkey,4628197,redis,redis 8.8.0,2423167.5,1132415.9,0.4673,283.903,2887.679,133790440,153153536,0,0.394
cap,90,16,uniform,4,1,aki redis valkey,4628197,valkey,valkey 9.1.0,2753530.9,1475115.2,0.5357,250.879,3682.303,134035624,148041728,0,0.4625
cap,90,16,uniform,4,2,valkey redis aki,4628197,sqlo1,,1251717.2,1251717.2,1,541.695,4052.991,0,1910628352,0,1
cap,90,16,uniform,4,2,valkey redis aki,4628197,redis,redis 8.8.0,2398291.2,1129296.2,0.4709,290.559,2902.015,133829000,151195648,0,0.381
cap,90,16,uniform,4,2,valkey redis aki,4628197,valkey,valkey 9.1.0,2753962.0,1475518.5,0.5358,245.887,3860.479,134036688,148054016,0,0.449
cap,90,16,uniform,16,1,aki redis valkey,18512790,sqlo1,,1034321.4,1034321.4,1,274.687,5709.823,0,6058397696,0,1
cap,90,16,uniform,16,1,aki redis valkey,18512790,redis,redis 8.8.0,2323845.3,455540.7,0.196,280.063,2959.359,133790360,152104960,0,0.091
cap,90,16,uniform,16,1,aki redis valkey,18512790,valkey,valkey 9.1.0,2650382.2,569260.0,0.2148,261.247,3663.871,134039296,147984384,0,0.1125
cap,90,16,uniform,16,2,valkey redis aki,18512790,sqlo1,,1033265.9,1033265.9,1,274.687,5693.439,0,6163738624,0,1
cap,90,16,uniform,16,2,valkey redis aki,18512790,redis,redis 8.8.0,2293064.7,449054.5,0.1958,283.647,3008.511,133809760,154136576,0,0.1045
cap,90,16,uniform,16,2,valkey redis aki,18512790,valkey,valkey 9.1.0,2696397.3,580158.4,0.2152,255.871,3727.359,134044632,150142976,0,0.115
cap,90,16,zipfian,1,1,aki redis valkey,1157049,sqlo1,,1661166.4,1661166.4,1,444.671,3145.727,0,508440576,0,1
cap,90,16,zipfian,1,1,aki redis valkey,1157049,redis,redis 8.8.0,2586277.0,2586277.0,1,275.199,2971.647,86488160,110465024,0,1
cap,90,16,zipfian,1,1,aki redis valkey,1157049,valkey,valkey 9.1.0,2983661.3,2983661.3,1,211.199,3913.727,74490448,86573056,0,1
cap,90,16,zipfian,1,2,valkey redis aki,1157049,sqlo1,,1657839.8,1657839.8,1,443.903,3194.879,0,506519552,0,1
cap,90,16,zipfian,1,2,valkey redis aki,1157049,redis,redis 8.8.0,2494225.8,2494225.8,1,286.463,3076.095,86483728,112599040,0,1
cap,90,16,zipfian,1,2,valkey redis aki,1157049,valkey,valkey 9.1.0,2996168.4,2996168.4,1,210.175,3919.871,74475792,86224896,0,1
cap,90,16,zipfian,4,1,aki redis valkey,4628197,sqlo1,,1409259.5,1409259.5,1,556.031,3307.519,0,1903923200,0,1
