store,chunk_kib,mix,dist,keys,val_mb,workload,ops,ns_per_op,ops_per_s,p50_ns,p99_ns,max_ns,wa,file_mb,wal_mb,vmhwm_mb
a,8,setrange,uniform,32,8,load,32,26575543,38,0,0,0,0.0,293.0,0.0,0.0
a,8,setrange,uniform,32,8,setrange-write,180033,20789,48102,19708,59917,1164125,127.0,0.0,0.0,0.0
a,8,setrange,uniform,32,8,setrange-read,19967,27754,36031,25208,82167,341292,0.0,0.0,0.0,0.0
a,8,setrange,uniform,32,8,flush,175,25449305,39,0,0,47573000,0.0,293.0,62.8,0.0
a,8,append,uniform,32,8,load,32,23578,42412,0,0,0,0.0,0.3,0.0,0.0
a,8,append,uniform,32,8,append-write,179928,79,12608430,41,125,73542,1.0,0.0,0.0,0.0
a,8,append,uniform,32,8,append-read,20072,8406,118969,6584,39334,295084,0.0,0.0,0.0,0.0
a,8,append,uniform,32,8,flush,2,10191208,98,0,0,13474709,0.0,0.3,14.1,0.0
a,8,setbit,uniform,32,8,load,32,26228783,38,0,0,0,0.0,293.1,0.0,0.0
a,8,setbit,uniform,32,8,setbit-write,179968,20256,49368,19458,56375,681334,8059.5,0.0,0.0,0.0
a,8,setbit,uniform,32,8,setbit-read,20032,19588,51053,18917,50209,294958,0.0,0.0,0.0,0.0
a,8,setbit,uniform,32,8,flush,173,23622782,42,0,0,34197583,0.0,293.1,37.0,0.0
a,8,getrange,uniform,32,8,load,32,25144284,40,0,0,0,0.0,293.3,0.0,0.0
a,8,getrange,uniform,32,8,getrange-write,19967,19935,50162,18750,60000,1074709,127.0,0.0,0.0,0.0
a,8,getrange,uniform,32,8,getrange-read,180033,26652,37521,25458,75167,8222667,0.0,0.0,0.0,0.0
a,8,getrange,uniform,32,8,flush,20,24993169,40,0,0,42653125,0.0,293.3,62.3,0.0
a,8,setbit,zipf,32,8,load,32,25870753,39,0,0,0,0.0,293.2,0.0,0.0
a,8,setbit,zipf,32,8,setbit-write,179987,12236,81727,15792,39542,311958,5209.9,0.0,0.0,0.0
a,8,setbit,zipf,32,8,setbit-read,20013,11679,85623,15250,34083,134750,0.0,0.0,0.0,0.0
a,8,setbit,zipf,32,8,flush,112,21044209,48,0,0,36233000,0.0,293.2,42.7,0.0
a,16,setrange,uniform,32,8,load,32,20590570,49,0,0,0,0.0,274.7,0.0,0.0
a,16,setrange,uniform,32,8,setrange-write,180033,31119,32135,29625,85250,4678500,252.8,0.0,0.0,0.0
a,16,setrange,uniform,32,8,setrange-read,19967,35970,27801,30292,90292,509125,0.0,0.0,0.0,0.0
a,16,setrange,uniform,32,8,flush,348,17874776,56,0,0,27331583,0.0,274.7,31.7,0.0
a,16,append,uniform,32,8,load,32,27911,35828,0,0,0,0.0,0.6,0.0,0.0
a,16,append,uniform,32,8,append-write,179928,79,12661321,42,125,148792,1.0,0.0,0.0,0.0
a,16,append,uniform,32,8,append-read,20072,13409,74577,9750,56334,248542,0.0,0.0,0.0,0.0
a,16,append,uniform,32,8,flush,2,8042979,124,0,0,10415833,0.0,0.6,12.9,0.0
a,16,setbit,uniform,32,8,load,32,20684099,48,0,0,0,0.0,274.6,0.0,0.0
a,16,setbit,uniform,32,8,setbit-write,179968,30611,32668,29041,83833,6724666,16117.9,0.0,0.0,0.0
a,16,setbit,uniform,32,8,setbit-read,20032,29272,34162,28250,72500,1082792,0.0,0.0,0.0,0.0
a,16,setbit,uniform,32,8,flush,346,17929232,56,0,0,30770458,0.0,274.6,26.2,0.0
a,16,getrange,uniform,32,8,load,32,20477759,49,0,0,0,0.0,274.5,0.0,0.0
